# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.407979575024e-10       4.562551638997e-15       3.670720109692e-13       0.000000000000e+00       8.340512763106e-09       4.727522302118e-10      -1.918311069438e-12 
    3       1.330522893271e-10       5.533355142255e-15       4.053922282433e-13       0.000000000000e+00       5.139753228897e-09       3.367183888883e-10      -1.407872603301e-12 
    4       1.256284424466e-10       4.506176238267e-15       3.733578375336e-13       0.000000000000e+00       3.570612334747e-09       2.554555240947e-10      -8.791932886931e-13 
    5       1.200449046388e-10       2.823299935648e-15       3.126496851822e-13       0.000000000000e+00       2.663716155557e-09       2.019618850058e-10      -4.515762277374e-13 
    6       1.161812957761e-10       1.502983098829e-15       2.472556894123e-13       0.000000000000e+00       2.080133164295e-09       1.644522437319e-10      -1.531549345041e-13 
    7       1.137090336573e-10       8.109369131572e-16       1.908984249347e-13       0.000000000000e+00       1.677957148614e-09       1.370076119494e-10       2.167857915460e-14 
    8       1.122232378109e-10       5.428458011659e-16       1.491751196889e-13       0.000000000000e+00       1.386980176126e-09       1.162167914987e-10       9.653956242786e-14 
    9       1.114703998198e-10       4.363641426683e-16       1.227654771595e-13       0.000000000000e+00       1.168425354265e-09       1.000089195571e-10       1.026073210040e-13 
   10       1.112787132136e-10       3.625211885782e-16       1.094887224764e-13       0.000000000000e+00       9.993070263053e-10       8.712026084647e-11       7.112722429253e-14 
   11       1.115205887323e-10       3.053042511839e-16       1.059481056926e-13       0.000000000000e+00       8.553504459455e-10       7.748479979011e-11       2.863232644992e-14 
   12       1.120646088916e-10       2.775869161454e-16       1.088112361250e-13       0.000000000000e+00       7.486022206795e-10       6.862798621748e-11      -8.567893132158e-15 
   13       1.128827752054e-10       2.773319533494e-16       1.152871842801e-13       0.000000000000e+00       6.608529980148e-10       6.132883756813e-11      -3.102273231537e-14 
