#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_rho_fld       19:rho_plus_p_theta_fld    20:delta_p_fld        
       7.110277380919e+00       1.565339606102e-05      -1.214473434229e+00       2.122769643522e-04       3.451752795879e-08       8.629381989698e-08       7.895760930167e-14       1.725876397940e-08      -9.108550756721e-01       2.122769643528e-04       6.003327996257e-01       6.966337205258e-01      -1.214473433934e+00       2.122278973500e-04       2.016631795152e-04      -9.108550761135e-01       2.123746647586e-04      -2.478590330312e-13       5.798420377036e-17       5.866234543318e-13 
       7.112310202008e+00       1.565793902473e-05      -1.214477659295e+00       2.123372823792e-04       3.454737648816e-08       8.636844122041e-08       7.907176354029e-14       1.727368824408e-08      -9.108582444713e-01       2.123372823801e-04       6.003328452952e-01       6.966328081202e-01      -1.214477658866e+00       2.122881729795e-04       2.017782289775e-04      -9.108582451114e-01       2.124350660096e-04      -2.477919661743e-13       5.803615861377e-17       5.869815278558e-13 
       7.114343023098e+00       1.566248202712e-05      -1.214481884705e+00       2.123976002025e-04       3.457724235458e-08       8.644310588645e-08       7.918605047207e-14       1.728862117729e-08      -9.108614135284e-01       2.123976002037e-04       6.003328909049e-01       6.966318956695e-01      -1.214481884143e+00       2.123484483808e-04       2.018933110928e-04      -9.108614143674e-01       2.124954671038e-04      -2.477250657031e-13       5.808814491416e-17       5.873397154217e-13 
       7.116375844187e+00       1.566702506820e-05      -1.214486110454e+00       2.124579178214e-04       3.460712556310e-08       8.651781390776e-08       7.930047021356e-14       1.730356278155e-08      -9.108645828404e-01       2.124579178228e-04       6.003329364560e-01       6.966309831747e-01      -1.214486109759e+00       2.124087235532e-04       2.020084258610e-04      -9.108645838784e-01       2.125558680405e-04      -2.476583314051e-13       5.814016268142e-17       5.876980170324e-13 
       7.118408665277e+00       1.567156814796e-05      -1.214490336543e+00       2.125182352359e-04       3.463702611893e-08       8.659256529733e-08       7.941502288172e-14       1.731851305947e-08      -9.108677524073e-01       2.125182352376e-04       6.003329819483e-01       6.966300706358e-01      -1.214490335715e+00       2.124689984965e-04       2.021235732819e-04      -9.108677536445e-01       2.126162688197e-04      -2.475917630687e-13       5.819221192542e-17       5.880564326900e-13 
       7.120441486366e+00       1.567611126641e-05      -1.214494562973e+00       2.125785524463e-04       3.466694402729e-08       8.666736006823e-08       7.952970859363e-14       1.733347201365e-08      -9.108709222300e-01       2.125785524483e-04       6.003330273816e-01       6.966291580525e-01      -1.214494562011e+00       2.125292732112e-04       2.022387533556e-04      -9.108709236666e-01       2.126766694418e-04      -2.475253604831e-13       5.824429265596e-17       5.884149623969e-13 
       7.128604315859e+00       1.569435462945e-05      -1.214511537688e+00       2.128207552246e-04       3.478725476721e-08       8.696813691803e-08       7.999157323085e-14       1.739362738361e-08      -9.108836532657e-01       2.128207552277e-04       6.003332092322e-01       6.966254931176e-01      -1.214511536188e+00       2.127713050991e-04       2.027015898118e-04      -9.108836555045e-01       2.129192076339e-04      -2.472603845669e-13       5.845374102868e-17       5.898557933691e-13 
       7.136767145352e+00       1.571259861626e-05      -1.214528517867e+00       2.130629547056e-04       3.490784572460e-08       8.726961431150e-08       8.045559259455e-14       1.745392286230e-08      -9.108963884002e-01       2.130629547098e-04       6.003333901399e-01       6.966218274755e-01      -1.214528515829e+00       2.130133332926e-04       2.031649527607e-04      -9.108963914441e-01       2.131617432866e-04      -2.469980643355e-13       5.866369789566e-17       5.912984634778e-13 
       7.144929974845e+00       1.573084322684e-05      -1.214545503504e+00       2.133051508885e-04       3.502871723527e-08       8.757179308816e-08       8.092177429386e-14       1.751435861763e-08      -9.109091276281e-01       2.133051508938e-04       6.003335701069e-01       6.966181611279e-01      -1.214545500925e+00       2.132553577903e-04       2.036288421935e-04      -9.109091314798e-01       2.134042763999e-04      -2.467383863273e-13       5.887416389135e-17       5.927429728516e-13 
       7.153092804338e+00       1.574908846118e-05      -1.214562494585e+00       2.135473437713e-04       3.514986963485e-08       8.787467408714e-08       8.139012595582e-14       1.757493481743e-08      -9.109218709387e-01       2.135473437777e-04       6.003337491368e-01       6.966144940784e-01      -1.214562491463e+00       2.134973785897e-04       2.040932581013e-04      -9.109218756009e-01       2.136468069726e-04      -2.464813371641e-13       5.908513965099e-17       5.941893216228e-13 
       7.161255633831e+00       1.576733431929e-05      -1.214579491092e+00       2.137895333513e-04       3.527130325894e-08       8.817825814736e-08       8.186065522558e-14       1.763565162947e-08      -9.109346183190e-01       2.137895333589e-04       6.003339272342e-01       6.966108263313e-01      -1.214579487425e+00       2.137393956878e-04       2.045582004752e-04      -9.109346237944e-01       2.138893350028e-04      -2.462269035573e-13       5.929662581006e-17       5.956375099248e-13 
       7.169418463324e+00       1.578558080116e-05      -1.214596493009e+00       2.140317196263e-04       3.539301844319e-08       8.848254610798e-08       8.233336976681e-14       1.769650922160e-08      -9.109473697571e-01       2.140317196350e-04       6.003341044031e-01       6.966071578906e-01      -1.214596488796e+00       2.139814090818e-04       2.050236693065e-04      -9.109473760486e-01       2.141318604891e-04      -2.459750723119e-13       5.950862300375e-17       5.970875378890e-13 
       7.192393221148e+00       1.583693993288e-05      -1.214644374833e+00       2.147133492098e-04       3.573710724978e-08       8.934276812445e-08       8.367564942102e-14       1.786855362489e-08      -9.109832811248e-01       2.147133492218e-04       6.003345980999e-01       6.965968291537e-01      -1.214644369071e+00       2.146625499353e-04       2.063365843974e-04      -9.109832897280e-01       2.148144488958e-04      -2.452801359609e-13       6.010805020259e-17       6.011786025348e-13 
       7.215367978973e+00       1.588830400590e-05      -1.214692299158e+00       2.153949525607e-04       3.608343665062e-08       9.020859162654e-08       8.503547323448e-14       1.804171832531e-08      -9.110192243687e-01       2.153949525760e-04       6.003350845380e-01       6.965864950114e-01      -1.214692291832e+00       2.153436613804e-04       2.076536696766e-04      -9.110192353058e-01       2.154970171244e-04      -2.446054230728e-13       6.071154487493e-17       6.052842444170e-13 
       7.238342736798e+00       1.593967302022e-05      -1.214740265722e+00       2.160765296411e-04       3.643201413601e-08       9.108003534002e-08       8.641301443945e-14       1.821600706800e-08      -9.110551992916e-01       2.160765296597e-04       6.003355637879e-01       6.965761555293e-01      -1.214740256817e+00       2.160247433688e-04       2.089749249459e-04      -9.110552125847e-01       2.161795651557e-04      -2.439506507698e-13       6.131912118173e-17       6.094044663971e-13 
       7.261317494622e+00       1.599104697586e-05      -1.214788274250e+00       2.167580804104e-04       3.678284719782e-08       9.195711799456e-08       8.780844743251e-14       1.839142359891e-08      -9.110912056873e-01       2.167580804325e-04       6.003360359229e-01       6.965658107758e-01      -1.214788263751e+00       2.167057958492e-04       2.103003500068e-04      -9.110912213588e-01       2.168620929675e-04      -2.433155415269e-13       6.193079328607e-17       6.135392713212e-13 
       7.284292252447e+00       1.604242587279e-05      -1.214836324468e+00       2.174396048281e-04       3.713594332989e-08       9.283985832473e-08       8.922194777982e-14       1.856797166495e-08      -9.111272433514e-01       2.174396048537e-04       6.003365010158e-01       6.965554608189e-01      -1.214836312360e+00       2.173868187706e-04       2.116299446603e-04      -9.111272614238e-01       2.175446005377e-04      -2.426998230667e-13       6.254657535200e-17       6.176886620134e-13 
       7.307267010272e+00       1.609380971104e-05      -1.214884416117e+00       2.181211028548e-04       3.749131002829e-08       9.372827507072e-08       9.065369222205e-14       1.874565501414e-08      -9.111633120881e-01       2.181211028840e-04       6.003369591367e-01       6.965451057236e-01      -1.214884402385e+00       2.180678120831e-04       2.129637087071e-04      -9.111633325842e-01       2.182270878456e-04      -2.421032282521e-13       6.316648154377e-17       6.218526412714e-13 
       7.376419672685e+00       1.624850184550e-05      -1.215029416605e+00       2.201722119589e-04       3.857472086231e-08       9.643680215577e-08       9.507505763623e-14       1.928736043115e-08      -9.112720624534e-01       2.201722119993e-04       6.003382966673e-01       6.965139071273e-01      -1.215029397887e+00       2.201173825004e-04       2.170034192323e-04      -9.112720903825e-01       2.202812117977e-04      -2.404203044276e-13       6.505739372972e-17       6.344740401440e-13 
       7.445572335098e+00       1.640323874692e-05      -1.215174783491e+00       2.222230805863e-04       3.967897497196e-08       9.919743742989e-08       9.966824560255e-14       1.983948748598e-08      -9.113810876179e-01       2.222230806384e-04       6.003395734508e-01       6.964826642083e-01      -1.215174759646e+00       2.221666829029e-04       2.210808961188e-04      -9.113811231905e-01       2.223351514659e-04      -2.389014062033e-13       6.698618406945e-17       6.472277070854e-13 
       7.514724997511e+00       1.655802041531e-05      -1.215320510474e+00       2.242737077273e-04       4.080427710741e-08       1.020106927685e-07       1.044382708778e-13       2.040213855371e-08      -9.114903828553e-01       2.242737077918e-04       6.003407912023e-01       6.964513785366e-01      -1.215320481356e+00       2.242157119920e-04       2.251961338741e-04      -9.114904262857e-01       2.243889063428e-04      -2.375400264566e-13       6.895323890699e-17       6.601137146564e-13 
       7.583877659925e+00       1.671284685065e-05      -1.215466591559e+00       2.263240923878e-04       4.195083218548e-08       1.048770804637e-07       1.093902474115e-13       2.097541609274e-08      -9.115999436694e-01       2.263240924654e-04       6.003419515636e-01       6.964200516053e-01      -1.215466557019e+00       2.262644684849e-04       2.293491269771e-04      -9.115999951759e-01       2.264424759363e-04      -2.363300117448e-13       7.095894463264e-17       6.731321336328e-13 
       7.653030322338e+00       1.686771805295e-05      -1.215613021074e+00       2.283742335950e-04       4.311884529053e-08       1.077971132263e-07       1.145293894158e-13       2.155942264527e-08      -9.117097658056e-01       2.283742336863e-04       6.003430560984e-01       6.963886848270e-01      -1.215612980960e+00       2.283129511198e-04       2.335398698787e-04      -9.117098256104e-01       2.284958597749e-04      -2.352655400683e-13       7.300368767511e-17       6.862830330281e-13 
       7.722182984751e+00       1.702263402221e-05      -1.215759793657e+00       2.304241303976e-04       4.430852167466e-08       1.107713041866e-07       1.198610124359e-13       2.215426083733e-08      -9.118198452427e-01       2.304241305033e-04       6.003441062949e-01       6.963572795365e-01      -1.215759747815e+00       2.303611586561e-04       2.377683570021e-04      -9.118199135720e-01       2.305490574087e-04      -2.343411002689e-13       7.508785449467e-17       6.995664801166e-13 
       7.840110304762e+00       1.728691836742e-05      -1.216010864709e+00       2.339192910855e-04       4.638785525909e-08       1.159696381477e-07       1.294126149807e-13       2.319392762955e-08      -9.120081485320e-01       2.339192912175e-04       6.003457758762e-01       6.963036382383e-01      -1.216010808735e+00       2.338533669796e-04       2.450663238383e-04      -9.120082319319e-01       2.340499827412e-04      -2.330729171743e-13       7.873406344393e-17       7.225249249773e-13 
       7.958037624773e+00       1.755133289994e-05      -1.216262895438e+00       2.374137338290e-04       4.853180538494e-08       1.213295134624e-07       1.395673433589e-13       2.426590269247e-08      -9.121971715787e-01       2.374137339894e-04       6.003472981139e-01       6.962498943985e-01      -1.216262828860e+00       2.373447658183e-04       2.524740107951e-04      -9.121972707391e-01       2.375503633154e-04      -2.321728230934e-13       8.249796192572e-17       7.458693373286e-13 
       8.075964944784e+00       1.781587761976e-05      -1.216515864489e+00       2.409074542784e-04       5.074139331446e-08       1.268534832862e-07       1.503536540160e-13       2.537069665723e-08      -9.123868983665e-01       2.409074544695e-04       6.003486790919e-01       6.961960533275e-01      -1.216515786821e+00       2.408353493839e-04       2.599913896766e-04      -9.123870139980e-01       2.410501972574e-04      -2.316188154567e-13       8.638146690219e-17       7.696000176438e-13 
       8.193892264795e+00       1.808055252689e-05      -1.216769752317e+00       2.444004482117e-04       5.301764171872e-08       1.325441042968e-07       1.618009097428e-13       2.650882085936e-08      -9.125773142376e-01       2.444004484359e-04       6.003499244383e-01       6.961421198830e-01      -1.216769663058e+00       2.443251120139e-04       2.676184320678e-04      -9.125774470715e-01       2.445494828173e-04      -2.313907687774e-13       9.038649540060e-17       7.937172532234e-13 
       8.311819584807e+00       1.834535762133e-05      -1.217024541024e+00       2.478927115266e-04       5.536157467579e-08       1.384039366895e-07       1.739393953733e-13       2.768078733790e-08      -9.127684057684e-01       2.478927117864e-04       6.003510393619e-01       6.960880985106e-01      -1.217024439660e+00       2.478140481639e-04       2.753551093381e-04      -9.127685565574e-01       2.480482183611e-04      -2.314702504427e-13       9.451496444846e-17       8.182213186061e-13 
       8.429746904818e+00       1.861029290308e-05      -1.217280214218e+00       2.513842402351e-04       5.777421766939e-08       1.444355441735e-07       1.868003335532e-13       2.888710883470e-08      -9.129601606634e-01       2.513842405331e-04       6.003520286853e-01       6.960339932802e-01      -1.217280100217e+00       2.513021524019e-04       2.832013926450e-04      -9.129603301815e-01       2.515464023652e-04      -2.318403567694e-13       9.876879101123e-17       8.431124759659e-13 
