# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.617332169350e-10       8.062251097971e-15       2.352995535483e-13       7.250931226164e-17       8.963518425739e-11       9.598140627027e-12      -1.041485869601e-14 
   41       1.641125344941e-10       8.754644936048e-15       2.253326385416e-13       7.617400278140e-17       8.527211690416e-11       9.170491993905e-12      -8.975631017720e-15 
   42       1.665163436236e-10       9.484173862693e-15       2.137912601911e-13       7.993011636190e-17       8.119670649041e-11       8.769950772821e-12      -7.627348814109e-15 
   43       1.689454031369e-10       1.025145950738e-14       2.007448492611e-13       8.377767806403e-17       7.736552769480e-11       8.388230225666e-12      -6.812228591495e-15 
   44       1.714030036296e-10       1.105709698775e-14       1.861943160098e-13       8.771666594264e-17       7.377296721414e-11       8.024952712571e-12      -6.550118260742e-15 
   45       1.738910717510e-10       1.190163716204e-14       1.701235119130e-13       9.174703494096e-17       7.041560035871e-11       7.681350036567e-12      -6.721547142127e-15 
   46       1.764085086521e-10       1.278557839766e-14       1.525188802913e-13       9.586872572530e-17       6.727801041374e-11       7.357812945708e-12      -7.174575546206e-15 
   47       1.789509083648e-10       1.370936421735e-14       1.333694589079e-13       1.000816642181e-16       6.433185206251e-11       7.053818055980e-12      -7.722814681042e-15 
   48       1.815127960703e-10       1.467336438683e-14       1.126587751114e-13       1.043857550177e-16       6.154463185855e-11       6.768210678192e-12      -8.187469770839e-15 
   49       1.840957461063e-10       1.567781736602e-14       9.033782358351e-14       1.087808605547e-16       5.891116181271e-11       6.500318087472e-12      -8.542104001181e-15 
   50       1.867020684709e-10       1.672286759131e-14       6.634447581269e-14       1.132668152575e-16       5.642936304281e-11       6.249024516172e-12      -8.805279735695e-15 
   51       1.893323394419e-10       1.780857749778e-14       4.061052156252e-14       1.178434303932e-16       5.409089288097e-11       6.012389081907e-12      -9.000357590927e-15 
   52       1.919852485222e-10       1.893492432052e-14       1.306125782390e-14       1.225104932881e-16       5.188070406449e-11       5.787590868839e-12      -9.155762425778e-15 
   53       1.946590099828e-10       2.010183830013e-14      -1.637123346954e-14       1.272677766857e-16       4.978180410417e-11       5.571757950153e-12      -9.299659884801e-15 
   54       1.973563759314e-10       2.130933619607e-14      -4.770329774301e-14       1.321150714345e-16       4.779198487256e-11       5.364831143131e-12      -9.441766669226e-15 
   55       2.000806455662e-10       2.255741653047e-14      -8.093369503981e-14       1.370521608479e-16       4.591062664252e-11       5.167340932752e-12      -9.587326488647e-15 
   56       2.028341279278e-10       2.384601975933e-14      -1.160561214635e-13       1.420788109581e-16       4.413365670165e-11       4.979570533707e-12      -9.742321011214e-15 
   57       2.056180544462e-10       2.517502680991e-14      -1.530590462731e-13       1.471947701624e-16       4.245332658003e-11       4.801538034201e-12      -9.913501494736e-15 
   58       2.084324914874e-10       2.654425761807e-14      -1.919255489791e-13       1.523997688691e-16       4.085798927779e-11       4.632978539751e-12      -1.010842041780e-14 
   59       2.112769156944e-10       2.795347434604e-14      -2.326367930966e-13       1.576935427968e-16       3.933532378904e-11       4.473440700221e-12      -1.033222458827e-14 
   60       2.141522946562e-10       2.940239523039e-14      -2.751837594290e-13       1.630759099951e-16       3.788338907818e-11       4.322643022482e-12      -1.057709296316e-14 
   61       2.170593357301e-10       3.089068137069e-14      -3.195579545341e-13       1.685467111169e-16       3.650174800974e-11       4.180168892927e-12      -1.083039752040e-14 
   62       2.199978020734e-10       3.241793105444e-14      -3.657479748274e-13       1.741057877763e-16       3.518814200937e-11       4.045345776367e-12      -1.107764956026e-14 
   63       2.229664476587e-10       3.398367845311e-14      -4.137394669538e-13       1.797529829969e-16       3.393838514903e-11       3.917231237230e-12      -1.130242155609e-14 
   64       2.259629522875e-10       3.558739231810e-14      -4.635150881597e-13       1.854881416596e-16       3.274625823211e-11       3.794598960761e-12      -1.148626900496e-14 
   65       2.289850063160e-10       3.722842441293e-14      -5.150566209377e-13       1.913111283412e-16       3.160523638628e-11       3.676258519190e-12      -1.161265384464e-14 
   66       2.320339778061e-10       3.890584504491e-14      -5.683519264986e-13       1.972218842149e-16       3.051433499688e-11       3.562124780461e-12      -1.167985600411e-14 
   67       2.351119081405e-10       4.061857026799e-14      -6.233893974369e-13       2.032203830370e-16       2.947331616668e-11       3.452350662564e-12      -1.169066467632e-14 
   68       2.382203986298e-10       4.236540641382e-14      -6.801559536473e-13       2.093066157361e-16       2.848091084708e-11       3.347008816657e-12      -1.164865118822e-14 
   69       2.413605776862e-10       4.414504738175e-14      -7.386370629560e-13       2.154805913475e-16       2.753476421021e-11       3.246086983793e-12      -1.155820278330e-14 
   70       2.445330679986e-10       4.595607192887e-14      -7.988167617523e-13       2.217423379476e-16       2.663138102098e-11       3.149483351642e-12      -1.142455640424e-14 
   71       2.477379537059e-10       4.779694096006e-14      -8.606776756196e-13       2.280919035884e-16       2.576607100918e-11       3.057001911211e-12      -1.125383247551e-14 
