# Matter power spectrum P(k) at redshift z=2
# for k=1.04952e-05 to 58.9789 h/Mpc,
# number of wavenumbers equal to 575
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049521996540e-05       8.226010847623e+00 
       2.312703140351e-05       1.765581914646e+01 
       3.580220203963e-05       2.693713684846e+01 
       4.855352787053e-05       3.616158768203e+01 
       6.141433211936e-05       4.538228106003e+01 
       7.441875102904e-05       5.463947231864e+01 
       8.760202852808e-05       6.396783785441e+01 
       1.010008235465e-04       7.339947769954e+01 
       1.146535337898e-04       8.296545706217e+01 
       1.286006398104e-04       9.269674897740e+01 
       1.428850732267e-04       1.026226695919e+02 
       1.575526129020e-04       1.127797976304e+02 
       1.726523127585e-04       1.232004466043e+02 
       1.882369646229e-04       1.339206487567e+02 
       2.043635989836e-04       1.449787376893e+02 
       2.210940257026e-04       1.564157308399e+02 
       2.384954154191e-04       1.682757164596e+02 
       2.566409204418e-04       1.806062451598e+02 
       2.756103311382e-04       1.934587264920e+02 
       2.954907599292e-04       2.068888240692e+02 
       3.163773396783e-04       2.209568408381e+02 
       3.383739161997e-04       2.357280777300e+02 
       3.615937054699e-04       2.512731460313e+02 
       3.861598746494e-04       2.676682027898e+02 
       4.122059921309e-04       2.849950702217e+02 
       4.398762757783e-04       3.033411922795e+02 
       4.693255511264e-04       3.227993650250e+02 
       5.007188142551e-04       3.434671768927e+02 
       5.342302801493e-04       3.654460788811e+02 
       5.700417908375e-04       3.888400117548e+02 
       6.083404640704e-04       4.137535214871e+02 
       6.493154893013e-04       4.402893247974e+02 
       6.931540295049e-04       4.685453176004e+02 
       7.400362688145e-04       4.986110936676e+02 
       7.901297556666e-04       5.305641054144e+02 
       8.435833195405e-04       5.644656935306e+02 
       9.005209670199e-04       6.003572867751e+02 
       9.610362618295e-04       6.382571256264e+02 
       1.025187732878e-03       6.781578708083e+02 
       1.092995810025e-03       7.200253910717e+02 
       1.164441652253e-03       7.637989286752e+02 
       1.239468023948e-03       8.093858238635e+02 
       1.317982131218e-03       8.566809277263e+02 
       1.365374112507e-03       8.850278458850e+02 
       1.399860102217e-03       9.055604750160e+02 
       1.484952629637e-03       9.558836595198e+02 
       1.573091217505e-03       1.007500174723e+03 
       1.664094490714e-03       1.060254749235e+03 
       1.757774114867e-03       1.113991045697e+03 
       1.853940004620e-03       1.168555350603e+03 
       1.952404638443e-03       1.223799215848e+03 
       2.052986422001e-03       1.279581630942e+03 
       2.155512137086e-03       1.335770565385e+03 
       2.259818574702e-03       1.392243705140e+03 
       2.365753482517e-03       1.448889136150e+03 
       2.473175965450e-03       1.505604724427e+03 
       2.581956471182e-03       1.562298928616e+03 
       2.691976476543e-03       1.618888902482e+03 
       2.803127971240e-03       1.675300846716e+03 
       2.915312815527e-03       1.731469210213e+03 
       3.028442030286e-03       1.787335422527e+03 
       3.142435062419e-03       1.842848359054e+03 
       3.257219055803e-03       1.897962004687e+03 
       3.372728148150e-03       1.952636746868e+03 
       3.488902806543e-03       2.006837198080e+03 
       3.605689208915e-03       2.060533411615e+03 
       3.723038674752e-03       2.113698175651e+03 
       3.840907145565e-03       2.166308593952e+03 
       3.959254713861e-03       2.218344755564e+03 
       4.078045198199e-03       2.269789342507e+03 
       4.197245761236e-03       2.320628138426e+03 
       4.316826567374e-03       2.370848027667e+03 
       4.436760476516e-03       2.420439431265e+03 
       4.557022770484e-03       2.469393549110e+03 
       4.677590908857e-03       2.517702614264e+03 
       4.798444311143e-03       2.565362135479e+03 
       4.919564162495e-03       2.612366971095e+03 
       5.040933240388e-03       2.658714510334e+03 
       5.162535759947e-03       2.704402287657e+03 
       5.284357235852e-03       2.749427883142e+03 
       5.406384358951e-03       2.793792366660e+03 
       5.528604885928e-03       2.837494138008e+03 
       5.651007540563e-03       2.880534738177e+03 
       5.773581925274e-03       2.922915887526e+03 
       5.896318441787e-03       2.964638330756e+03 
       6.019208219924e-03       3.005704305220e+03 
       6.142243053592e-03       3.046117014700e+03 
       6.265415343199e-03       3.085877963751e+03 
       6.388718043770e-03       3.124991619715e+03 
       6.512144618156e-03       3.163461670857e+03 
       6.635688994790e-03       3.201290652328e+03 
       6.759345529484e-03       3.238482758621e+03 
       6.883108970869e-03       3.275043325555e+03 
       7.006974429057e-03       3.310974139154e+03 
       7.130937347233e-03       3.346281400848e+03 
