#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_rho_fld       19:rho_plus_p_theta_fld    20:delta_p_fld        
       8.038862658537e+01       2.045496724808e-04      -1.386032965846e+00       2.422342378469e-05       7.181117599134e-07       1.795279399784e-06       3.011490228750e-11       3.590558799567e-07      -1.039524724384e+00       2.422342379721e-05       5.838568211071e-01       6.538032051959e-01      -1.386032965358e+00       2.421467165837e-05       2.491571910159e-04      -1.039524724841e+00       2.423433910807e-05      -3.357030950316e-13       7.855836075126e-18       7.125887121578e-13 
       8.040751980147e+01       2.046048571599e-04      -1.386000890181e+00       2.422790991504e-05       7.186310675423e-07       1.796577668856e-06       3.015295254264e-11       3.593155337712e-07      -1.039500667636e+00       2.422790993322e-05       5.838684225977e-01       6.538113766789e-01      -1.386000889473e+00       2.421915144499e-05       2.492791835713e-04      -1.039500668299e+00       2.423883236803e-05      -3.354766682535e-13       7.860826817051e-18       7.128841494021e-13 
       8.042641301757e+01       2.046600451807e-04      -1.385968862295e+00       2.423239641706e-05       7.191506528255e-07       1.797876632064e-06       3.019104324401e-11       3.595753264128e-07      -1.039476646721e+00       2.423239644091e-05       5.838800145196e-01       6.538195362456e-01      -1.385968861366e+00       2.422363159984e-05       2.494011986747e-04      -1.039476647591e+00       2.424332600265e-05      -3.352504815796e-13       7.865819532224e-18       7.131796254781e-13 
       8.044530623367e+01       2.047152365430e-04      -1.385936882129e+00       2.423688329030e-05       7.196705158856e-07       1.799176289714e-06       3.022917442907e-11       3.598352579428e-07      -1.039452661597e+00       2.423688331983e-05       5.838915968829e-01       6.538276839106e-01      -1.385936880979e+00       2.422811212247e-05       2.495232363280e-04      -1.039452662672e+00       2.424782001150e-05      -3.350245346900e-13       7.870814220689e-18       7.134751403673e-13 
       8.046419944977e+01       2.047704312469e-04      -1.385904949627e+00       2.424137053438e-05       7.201906568446e-07       1.800476642111e-06       3.026734613526e-11       3.600953284223e-07      -1.039428712220e+00       2.424137056960e-05       5.839031696972e-01       6.538358196878e-01      -1.385904948256e+00       2.423259301249e-05       2.496452965331e-04      -1.039428713502e+00       2.425231439418e-05      -3.347988272657e-13       7.875810882489e-18       7.137706940519e-13 
       8.048309266587e+01       2.048256292923e-04      -1.385873064734e+00       2.424585814890e-05       7.207110758268e-07       1.801777689567e-06       3.030555840015e-11       3.603555379134e-07      -1.039404798550e+00       2.424585818981e-05       5.839147329719e-01       6.538439435910e-01      -1.385873063142e+00       2.423707426951e-05       2.497673792918e-04      -1.039404800040e+00       2.425680915029e-05      -3.345733589892e-13       7.880809517664e-18       7.140662865132e-13 
       8.056227776462e+01       2.050570112583e-04      -1.385739945675e+00       2.426467062418e-05       7.228952790219e-07       1.807238197555e-06       3.046615540906e-11       3.614476395110e-07      -1.039304959256e+00       2.426467068907e-05       5.839630933208e-01       6.538778635742e-01      -1.385739943154e+00       2.425586006180e-05       2.502792969836e-04      -1.039304961614e+00       2.427565158997e-05      -3.336309726046e-13       7.901781226669e-18       7.153055927452e-13 
       8.064146286336e+01       2.052884519226e-04      -1.385607657824e+00       2.428348956966e-05       7.250843770868e-07       1.812710942717e-06       3.062746829458e-11       3.625421885434e-07      -1.039205743368e+00       2.428348965866e-05       5.840112869791e-01       6.539115762522e-01      -1.385607654371e+00       2.427465226368e-05       2.507916110210e-04      -1.039205746596e+00       2.429450055251e-05      -3.326927582989e-13       7.922787603832e-18       7.165455784742e-13 
       8.072064796210e+01       2.055199512855e-04      -1.385476197102e+00       2.430231495585e-05       7.272783788920e-07       1.818195947230e-06       3.078949981886e-11       3.636391894460e-07      -1.039107147827e+00       2.430231506911e-05       5.840593146517e-01       6.539450826444e-01      -1.385476192715e+00       2.429345084561e-05       2.513043215379e-04      -1.039107151928e+00       2.431335600842e-05      -3.317586929695e-13       7.943828652076e-18       7.177862423600e-13 
       8.079983306084e+01       2.057515093467e-04      -1.385345559451e+00       2.432114675329e-05       7.294772932153e-07       1.823693233038e-06       3.095225274515e-11       3.647386466077e-07      -1.039009169589e+00       2.432114689096e-05       5.841071770413e-01       6.539783837661e-01      -1.385345554127e+00       2.431225577806e-05       2.518174286680e-04      -1.039009174565e+00       2.433221792826e-05      -3.308287536347e-13       7.964904374353e-18       7.190275830674e-13 
       8.087901815959e+01       2.059831261065e-04      -1.385215740837e+00       2.433998493271e-05       7.316811287553e-07       1.829202821888e-06       3.111572983852e-11       3.658405643777e-07      -1.038911805628e+00       2.433998509494e-05       5.841548748461e-01       6.540114806258e-01      -1.385215734572e+00       2.433106703170e-05       2.523309325443e-04      -1.038911811482e+00       2.435108628280e-05      -3.299029174457e-13       7.986014773609e-18       7.202695992664e-13 
       8.095820325833e+01       2.062148015647e-04      -1.385086737244e+00       2.435882946493e-05       7.338898941310e-07       1.834724735327e-06       3.127993386596e-11       3.669449470655e-07      -1.038815052933e+00       2.435882965186e-05       5.842024087619e-01       6.540443742274e-01      -1.385086730037e+00       2.434988457728e-05       2.528448332992e-04      -1.038815059668e+00       2.436996104285e-05      -3.289811616958e-13       8.007159852770e-18       7.215122896283e-13 
       8.118590190407e+01       2.068813169596e-04      -1.384720289667e+00       2.441305250435e-05       7.402687983280e-07       1.850671995820e-06       3.175618209744e-11       3.701343991640e-07      -1.038540217250e+00       2.441305276316e-05       5.843381867174e-01       6.541378370032e-01      -1.384720279732e+00       2.440402967621e-05       2.543247798437e-04      -1.038540226530e+00       2.442427129706e-05      -3.263531637101e-13       8.068156299270e-18       7.250894200044e-13 
       8.141360054981e+01       2.075483177109e-04      -1.384360454521e+00       2.446732715014e-05       7.466887358925e-07       1.866721839731e-06       3.223852995767e-11       3.733443679463e-07      -1.038270340891e+00       2.446732748205e-05       5.844726315148e-01       6.542296507889e-01      -1.384360441835e+00       2.445822587609e-05       2.558080122233e-04      -1.038270352734e+00       2.447863359411e-05      -3.237581890206e-13       8.129439593869e-18       7.286720825082e-13 
       8.164129919554e+01       2.082158038184e-04      -1.384007139486e+00       2.452165272773e-05       7.531499026508e-07       1.882874756627e-06       3.272704362241e-11       3.765749513254e-07      -1.038005354615e+00       2.452165313401e-05       5.846057592026e-01       6.543198386679e-01      -1.384007124025e+00       2.451247250076e-05       2.572945335003e-04      -1.038005369043e+00       2.453304725986e-05      -3.211957162041e-13       8.191009804314e-18       7.322602460227e-13 
