# Matter power spectrum P(k) at redshift z=1
# for k=1.04952e-05 to 58.9789 h/Mpc,
# number of wavenumbers equal to 575
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049521996540e-05       1.732786632866e+01 
       2.312703140351e-05       3.719147243462e+01 
       3.580220203963e-05       5.674223264006e+01 
       4.855352787053e-05       7.617311538018e+01 
       6.141433211936e-05       9.559596434150e+01 
       7.441875102904e-05       1.150955420271e+02 
       8.760202852808e-05       1.347448567157e+02 
       1.010008235465e-04       1.546114841340e+02 
       1.146535337898e-04       1.747608186189e+02 
       1.286006398104e-04       1.952580517210e+02 
       1.428850732267e-04       2.161593224130e+02 
       1.575526129020e-04       2.375515553700e+02 
       1.726523127585e-04       2.594982099541e+02 
       1.882369646229e-04       2.820750843497e+02 
       2.043635989836e-04       3.053628080663e+02 
       2.210940257026e-04       3.294476452869e+02 
       2.384954154191e-04       3.544223062420e+02 
       2.566409204418e-04       3.803867687734e+02 
       2.756103311382e-04       4.074491092941e+02 
       2.954907599292e-04       4.357263307371e+02 
       3.163773396783e-04       4.653451683232e+02 
       3.383739161997e-04       4.964428402273e+02 
       3.615937054699e-04       5.291676991235e+02 
       3.861598746494e-04       5.636797225668e+02 
       4.122059921309e-04       6.001507590656e+02 
       4.398762757783e-04       6.387644330633e+02 
       4.693255511264e-04       6.797155746028e+02 
       5.007188142551e-04       7.232090428680e+02 
       5.342302801493e-04       7.694577743183e+02 
       5.700417908375e-04       8.186799072697e+02 
       6.083404640704e-04       8.710948365642e+02 
       6.493154893013e-04       9.269181234782e+02 
       6.931540295049e-04       9.863552447784e+02 
       7.400362688145e-04       1.049594321860e+03 
       7.901297556666e-04       1.116798103827e+03 
       8.435833195405e-04       1.188095670682e+03 
       9.005209670199e-04       1.263574479172e+03 
       9.610362618295e-04       1.343273476683e+03 
       1.025187732878e-03       1.427178024477e+03 
       1.092995810025e-03       1.515217246036e+03 
       1.164441652253e-03       1.607264217562e+03 
       1.239468023948e-03       1.703124683091e+03 
       1.317982131218e-03       1.802577732788e+03 
       1.365374112507e-03       1.862186322659e+03 
       1.399860102217e-03       1.905362810455e+03 
       1.484952629637e-03       2.011183038937e+03 
       1.573091217505e-03       2.119721176374e+03 
       1.664094490714e-03       2.230649560519e+03 
       1.757774114867e-03       2.343638254021e+03 
       1.853940004620e-03       2.458363295852e+03 
       1.952404638443e-03       2.574512204149e+03 
       2.052986422001e-03       2.691788508666e+03 
       2.155512137086e-03       2.809914837337e+03 
       2.259818574702e-03       2.928634256599e+03 
       2.365753482517e-03       3.047711572024e+03 
       2.473175965450e-03       3.166931950014e+03 
       2.581956471182e-03       3.286102638244e+03 
       2.691976476543e-03       3.405049191879e+03 
       2.803127971240e-03       3.523616237714e+03 
       2.915312815527e-03       3.641665809110e+03 
       3.028442030286e-03       3.759074836540e+03 
       3.142435062419e-03       3.875735961164e+03 
       3.257219055803e-03       3.991552573902e+03 
       3.372728148150e-03       4.106441478815e+03 
