# Matter power spectrum P(k) at redshift z=2
# for k=1.04952e-05 to 58.9789 h/Mpc,
# number of wavenumbers equal to 575
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049521996540e-05       8.226010847623e+00 
       2.312703140351e-05       1.765581914646e+01 
       3.580220203963e-05       2.693713684846e+01 
       4.855352787053e-05       3.616158768203e+01 
       6.141433211936e-05       4.538228106003e+01 
       7.441875102904e-05       5.463947231864e+01 
       8.760202852808e-05       6.396783785441e+01 
       1.010008235465e-04       7.339947769954e+01 
       1.146535337898e-04       8.296545706217e+01 
       1.286006398104e-04       9.269674897740e+01 
       1.428850732267e-04       1.026248885988e+02 
       1.575526129020e-04       1.127824856301e+02 
       1.726523127585e-04       1.232036632983e+02 
       1.882369646229e-04       1.339244597448e+02 
       2.043635989836e-04       1.449832154305e+02 
       2.210940257026e-04       1.564209557563e+02 
       2.384954154191e-04       1.682817782098e+02 
       2.566409204418e-04       1.806132441098e+02 
       2.756103311382e-04       1.934667754198e+02 
       2.954907599292e-04       2.068980501409e+02 
       3.163773396783e-04       2.209673878997e+02 
       3.383739161997e-04       2.357401089648e+02 
       3.615937054699e-04       2.512868470343e+02 
       3.861598746494e-04       2.676837851183e+02 
       4.122059921309e-04       2.850127754779e+02 
       4.398762757783e-04       3.033612967816e+02 
       4.693255511264e-04       3.228221851139e+02 
       5.007188142551e-04       3.434930749082e+02 
       5.342302801493e-04       3.654754698152e+02 
       5.700417908375e-04       3.888733705542e+02 
       6.083404640704e-04       4.137913909262e+02 
       6.493154893013e-04       4.403323237786e+02 
       6.931540295049e-04       4.685941496618e+02 
       7.400362688145e-04       4.986665553937e+02 
       7.901297556666e-04       5.306270943648e+02 
       8.435833195405e-04       5.645372152345e+02 
       9.005209670199e-04       6.004384603092e+02 
       9.610362618295e-04       6.383491873024e+02 
       1.025187732878e-03       6.782621755707e+02 
       1.092995810025e-03       7.201434113310e+02 
       1.164441652253e-03       7.639322504776e+02 
       1.239468023948e-03       8.095361390924e+02 
       1.317982131218e-03       8.568500271812e+02 
       1.365374112507e-03       8.852087729979e+02 
       1.399860102217e-03       9.057502379682e+02 
       1.484952629637e-03       9.560960412604e+02 
       1.573091217505e-03       1.007737193911e+03 
       1.664094490714e-03       1.060518475039e+03 
       1.757774114867e-03       1.114283585145e+03 
       1.853940004620e-03       1.168878836613e+03 
       1.952404638443e-03       1.224155796121e+03 
       2.052986422001e-03       1.279973457936e+03 
       2.155512137086e-03       1.336199787477e+03 
       2.259818574702e-03       1.392712458897e+03 
       2.365753482517e-03       1.449399539829e+03 
       2.473175965450e-03       1.506158872264e+03 
       2.581956471182e-03       1.562898886480e+03 
       2.691976476543e-03       1.619536703782e+03 
       2.803127971240e-03       1.675998489391e+03 
       2.915312815527e-03       1.732218654300e+03 
       3.028442030286e-03       1.788138587970e+03 
       3.142435062419e-03       1.843707124503e+03 
       3.257219055803e-03       1.898878205828e+03 
       3.372728148150e-03       1.953612176036e+03 
       3.488902806543e-03       2.007873603289e+03 
       3.605689208915e-03       2.061632496777e+03 
       3.723038674752e-03       2.114861599692e+03 
       3.840907145565e-03       2.167537971248e+03 
       3.959254713861e-03       2.219641655953e+03 
       4.078045198199e-03       2.271155291358e+03 
       4.197245761236e-03       2.322064617337e+03 
       4.316826567374e-03       2.372356474066e+03 
       4.436760476516e-03       2.422021239916e+03 
       4.557022770484e-03       2.471050071908e+03 
       4.677590908857e-03       2.519435160317e+03 
       4.798444311143e-03       2.567171973081e+03 
       4.919564162495e-03       2.614255326832e+03 
       5.040933240388e-03       2.660682570797e+03 
       5.162535759947e-03       2.706451199364e+03 
       5.284357235852e-03       2.751558752392e+03 
       5.406384358951e-03       2.796006262487e+03 
       5.528604885928e-03       2.839792089837e+03 
       5.651007540563e-03       2.882917738658e+03 
       5.773581925274e-03       2.925384892856e+03 
       5.896318441787e-03       2.967194259877e+03 
       6.019208219924e-03       3.008348041397e+03 
       6.142243053592e-03       3.048849406706e+03 
       6.265415343199e-03       3.088699824375e+03 
       6.388718043770e-03       3.127903729048e+03 
       6.512144618156e-03       3.166464775833e+03 
       6.635688994790e-03       3.204385465755e+03 
       6.759345529484e-03       3.241669961273e+03 
       6.883108970869e-03       3.278323567831e+03 
       7.006974429057e-03       3.314348037370e+03 
       7.130937347233e-03       3.349749542643e+03 
