# Matter power spectrum P(k) at redshift z=0.5
# for k=1.04952e-05 to 58.9789 h/Mpc,
# number of wavenumbers equal to 575
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049521996540e-05       2.765632011384e+01 
       2.312703140351e-05       5.936003381685e+01 
       3.580220203963e-05       9.056486211254e+01 
       4.855352787053e-05       1.215790240370e+02 
       6.141433211936e-05       1.525812571640e+02 
       7.441875102904e-05       1.837070756095e+02 
       8.760202852808e-05       2.150732360988e+02 
       1.010008235465e-04       2.467878249261e+02 
       1.146535337898e-04       2.789554503111e+02 
       1.286006398104e-04       3.116803967074e+02 
       1.428850732267e-04       3.450688308813e+02 
       1.575526129020e-04       3.792305140437e+02 
       1.726523127585e-04       4.142802750694e+02 
       1.882369646229e-04       4.503393500024e+02 
       2.043635989836e-04       4.875366749625e+02 
       2.210940257026e-04       5.260101606600e+02 
       2.384954154191e-04       5.659079769198e+02 
       2.566409204418e-04       6.073898534460e+02 
       2.756103311382e-04       6.506283902107e+02 
       2.954907599292e-04       6.958103632577e+02 
       3.163773396783e-04       7.431379919446e+02 
       3.383739161997e-04       7.928301155905e+02 
       3.615937054699e-04       8.451232135253e+02 
       3.861598746494e-04       9.002721669856e+02 
       4.122059921309e-04       9.585506346913e+02 
       4.398762757783e-04       1.020250891865e+03 
       4.693255511264e-04       1.085682917139e+03 
       5.007188142551e-04       1.155172529922e+03 
       5.342302801493e-04       1.229058307530e+03 
       5.700417908375e-04       1.307687049846e+03 
       6.083404640704e-04       1.391407562922e+03 
       6.493154893013e-04       1.480562637102e+03 
       6.931540295049e-04       1.575479191009e+03 
       7.400362688145e-04       1.676456793164e+03 
       7.901297556666e-04       1.783754980370e+03 
       8.435833195405e-04       1.897580096418e+03 
       9.005209670199e-04       2.018072617044e+03 
       9.610362618295e-04       2.145296111456e+03 
       1.025187732878e-03       2.279229007817e+03 
       1.092995810025e-03       2.419760183832e+03 
       1.164441652253e-03       2.566689069208e+03 
       1.239468023948e-03       2.719707468741e+03 
       1.317982131218e-03       2.878464451631e+03 
       1.365374112507e-03       2.973620029539e+03 
       1.399860102217e-03       3.042545616184e+03 
       1.484952629637e-03       3.211478541710e+03 
       1.573091217505e-03       3.384758372985e+03 
       1.664094490714e-03       3.561863750220e+03 
       1.757774114867e-03       3.742269831789e+03 
       1.853940004620e-03       3.925461213399e+03 
       1.952404638443e-03       4.110940546007e+03 
       2.052986422001e-03       4.298235612683e+03 
       2.155512137086e-03       4.486904233025e+03 
       2.259818574702e-03       4.676536503927e+03 
       2.365753482517e-03       4.866757062711e+03 
       2.473175965450e-03       5.057223047108e+03 
       2.581956471182e-03       5.247626878314e+03 
       2.691976476543e-03       5.437690242012e+03 
       2.803127971240e-03       5.627165170861e+03 
       2.915312815527e-03       5.815831291051e+03 
       3.028442030286e-03       6.003491885941e+03 
       3.142435062419e-03       6.189975220724e+03 
