# Matter power spectrum P(k) at redshift z=0.35
# for k=1.04952e-05 to 58.9789 h/Mpc,
# number of wavenumbers equal to 575
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049521996540e-05       3.220473039119e+01 
       2.312703140351e-05       6.912274041865e+01 
       3.580220203963e-05       1.054603510324e+02 
       4.855352787053e-05       1.415767510235e+02 
       6.141433211936e-05       1.776803503029e+02 
       7.441875102904e-05       2.139292258522e+02 
       8.760202852808e-05       2.504596160158e+02 
       1.010008235465e-04       2.873976581883e+02 
       1.146535337898e-04       3.248654426165e+02 
       1.286006398104e-04       3.629846846799e+02 
       1.428850732267e-04       4.018792862891e+02 
       1.575526129020e-04       4.416773297694e+02 
       1.726523127585e-04       4.825127913476e+02 
       1.882369646229e-04       5.245270900717e+02 
       2.043635989836e-04       5.678705942550e+02 
       2.210940257026e-04       6.127040879102e+02 
       2.384954154191e-04       6.592002637320e+02 
       2.566409204418e-04       7.075452189352e+02 
       2.756103311382e-04       7.579399702570e+02 
       2.954907599292e-04       8.106019553671e+02 
       3.163773396783e-04       8.657664891805e+02 
       3.383739161997e-04       9.236881169933e+02 
       3.615937054699e-04       9.846417795876e+02 
       3.861598746494e-04       1.048923683944e+03 
       4.122059921309e-04       1.116851724599e+03 
       4.398762757783e-04       1.188765286641e+03 
       4.693255511264e-04       1.265024183404e+03 
       5.007188142551e-04       1.346006499718e+03 
       5.342302801493e-04       1.432105026370e+03 
       5.700417908375e-04       1.523722026738e+03 
       6.083404640704e-04       1.621262057568e+03 
       6.493154893013e-04       1.725122708064e+03 
       6.931540295049e-04       1.835683213723e+03 
       7.400362688145e-04       1.953291179297e+03 
       7.901297556666e-04       2.078247898958e+03 
       8.435833195405e-04       2.210793086208e+03 
       9.005209670199e-04       2.351090149502e+03 
       9.610362618295e-04       2.499213316808e+03 
       1.025187732878e-03       2.655137999267e+03 
       1.092995810025e-03       2.818735581465e+03 
       1.164441652253e-03       2.989773460269e+03 
       1.239468023948e-03       3.167893818938e+03 
       1.317982131218e-03       3.352689154836e+03 
       1.365374112507e-03       3.463449753877e+03 
       1.399860102217e-03       3.543678125761e+03 
       1.484952629637e-03       3.740311883481e+03 
       1.573091217505e-03       3.942003842746e+03 
       1.664094490714e-03       4.148148162848e+03 
       1.757774114867e-03       4.358134836129e+03 
       1.853940004620e-03       4.571364616847e+03 
       1.952404638443e-03       4.787259045462e+03 
       2.052986422001e-03       5.005268705406e+03 
       2.155512137086e-03       5.224879006827e+03 
       2.259818574702e-03       5.445612882645e+03 
       2.365753482517e-03       5.667033470345e+03 
       2.473175965450e-03       5.888741731043e+03 
       2.581956471182e-03       6.110379648838e+03 
       2.691976476543e-03       6.331623204229e+03 
       2.803127971240e-03       6.552183628912e+03 
       2.915312815527e-03       6.771804233920e+03 
       3.028442030286e-03       6.990255890764e+03 
       3.142435062419e-03       7.207338585330e+03 
       3.257219055803e-03       7.422872295595e+03 
       3.372728148150e-03       7.636701978791e+03 
       3.488902806543e-03       7.848689020461e+03 
       3.605689208915e-03       8.058715896956e+03 
       3.723038674752e-03       8.266675760998e+03 
       3.840907145565e-03       8.472478638203e+03 
       3.959254713861e-03       8.676046303004e+03 
       4.078045198199e-03       8.877310710088e+03 
       4.197245761236e-03       9.076216010100e+03 
       4.316826567374e-03       9.272710715649e+03 
       4.436760476516e-03       9.466757028034e+03 
       4.557022770484e-03       9.658320352990e+03 
       4.677590908857e-03       9.847369806863e+03 
       4.798444311143e-03       1.003388782588e+04 
       4.919564162495e-03       1.021785386780e+04 
       5.040933240388e-03       1.039925723557e+04 
       5.162535759947e-03       1.057808870009e+04 
       5.284357235852e-03       1.075433961053e+04 
       5.406384358951e-03       1.092801107481e+04 
       5.528604885928e-03       1.109909805516e+04 
       5.651007540563e-03       1.126760693938e+04 
       5.773581925274e-03       1.143354380504e+04 
       5.896318441787e-03       1.159691039560e+04 
       6.019208219924e-03       1.175771658604e+04 
       6.142243053592e-03       1.191597412641e+04 
       6.265415343199e-03       1.207168823936e+04 
       6.388718043770e-03       1.222487669957e+04 
       6.512144618156e-03       1.237555353872e+04 
       6.635688994790e-03       1.252372904625e+04 
       6.759345529484e-03       1.266941938810e+04 
       6.883108970869e-03       1.281264409009e+04 
       7.006974429057e-03       1.295341128200e+04 
       7.130937347233e-03       1.309174590683e+04 
       7.254993475829e-03       1.322766507719e+04 
       7.379138849064e-03       1.336118517809e+04 
       7.503369763566e-03       1.349231627607e+04 
       7.627682758903e-03       1.362109371535e+04 
       7.752074599819e-03       1.374751916294e+04 
       7.876542260001e-03       1.387161226386e+04 
       8.001082907249e-03       1.399340310913e+04 
       8.125693889895e-03       1.411291373546e+04 
       8.250372724364e-03       1.423015483051e+04 
       8.375117083770e-03       1.434514151064e+04 
       8.499924787441e-03       1.445790721313e+04 
       8.624793791300e-03       1.456846039239e+04 
       8.749722179018e-03       1.467682355499e+04 
       8.874708153873e-03       1.478301345543e+04 
       8.999750031245e-03       1.488704920376e+04 
       9.124846231701e-03       1.498896890553e+04 
       9.249995274615e-03       1.508877250533e+04 
       9.375195772273e-03       1.518648322760e+04 
       9.500446424428e-03       1.528212583362e+04 
       9.625746013265e-03       1.537571047594e+04 
       9.751093398737e-03       1.546726598248e+04 
       9.876487514253e-03       1.555681015106e+04 
       1.000192736268e-02       1.564435796448e+04 
       1.012741201262e-02       1.572992912638e+04 
       1.025294059501e-02       1.581354085418e+04 
       1.037851229988e-02       1.589522601051e+04 
       1.050412637342e-02       1.597497876562e+04 
       1.062978211522e-02       1.605283974554e+04 
       1.075547887571e-02       1.612881736689e+04 
       1.088121605378e-02       1.620293359201e+04 
       1.100699309458e-02       1.627520980768e+04 
       1.113280948744e-02       1.634565250429e+04 
       1.125866476396e-02       1.641429505724e+04 
       1.138455849626e-02       1.648114164778e+04 
       1.151049029527e-02       1.654621778685e+04 
       1.163645980924e-02       1.660954352877e+04 
       1.176246672226e-02       1.667113108634e+04 
       1.188851075295e-02       1.673100233806e+04 
       1.201459165321e-02       1.678917063363e+04 
       1.214070920707e-02       1.684565455447e+04 
