# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.616299352998e-10       7.990368104300e-15       2.355084836670e-13       0.000000000000e+00       8.963518425739e-11       9.598140627027e-12      -1.041485869601e-14 
   41       1.640049128503e-10       8.679214085162e-15       2.255566732679e-13       0.000000000000e+00       8.527211690416e-11       9.170491993905e-12      -8.975631017720e-15 
   42       1.664043338935e-10       9.405118958873e-15       2.140307791187e-13       0.000000000000e+00       8.119670649041e-11       8.769950772821e-12      -7.627348814109e-15 
   43       1.688289607580e-10       1.016870558665e-14       2.010001783627e-13       0.000000000000e+00       7.736552769480e-11       8.388230225666e-12      -6.812228591495e-15 
   44       1.712820868809e-10       1.097057046891e-14       1.864657205149e-13       0.000000000000e+00       7.377296721414e-11       8.024952712571e-12      -6.550118260742e-15 
   45       1.737656415606e-10       1.181126594816e-14       1.704111893327e-13       0.000000000000e+00       7.041560035871e-11       7.681350036567e-12      -6.721547142127e-15 
   46       1.762785285870e-10       1.269129195991e-14       1.528229533463e-13       0.000000000000e+00       6.727801041374e-11       7.357812945708e-12      -7.174575546206e-15 
   47       1.788163446215e-10       1.361109368075e-14       1.336899682073e-13       0.000000000000e+00       6.433185206251e-11       7.053818055980e-12      -7.722814681042e-15 
   48       1.813736173281e-10       1.457104264942e-14       1.129956721759e-13       0.000000000000e+00       6.154463185855e-11       6.768210678192e-12      -8.187469770839e-15 
   49       1.839519229255e-10       1.557137932481e-14       9.069096559939e-14       0.000000000000e+00       5.891116181271e-11       6.500318087472e-12      -8.542104001181e-15 
   50       1.865535730182e-10       1.661225029493e-14       6.671361871499e-14       0.000000000000e+00       5.642936304281e-11       6.249024516172e-12      -8.805279735695e-15 
   51       1.891791453341e-10       1.769372027377e-14       4.099531235237e-14       0.000000000000e+00       5.409089288097e-11       6.012389081907e-12      -9.000357590927e-15 
   52       1.918273306628e-10       1.881576890620e-14       1.346122666699e-14       0.000000000000e+00       5.188070406449e-11       5.787590868839e-12      -9.155762425778e-15 
   53       1.944963445186e-10       1.997832896949e-14      -1.595667917788e-14       0.000000000000e+00       4.978180410417e-11       5.571757950153e-12      -9.299659884801e-15 
   54       1.971889406206e-10       2.118141986525e-14      -4.727487231446e-14       0.000000000000e+00       4.779198487256e-11       5.364831143131e-12      -9.441766669226e-15 
   55       1.999084198290e-10       2.242504288539e-14      -8.049223901030e-14       0.000000000000e+00       4.591062664252e-11       5.167340932752e-12      -9.587326488647e-15 
   56       2.026570927769e-10       2.370914139355e-14      -1.156026082631e-13       0.000000000000e+00       4.413365670165e-11       4.979570533707e-12      -9.742321011214e-15 
   57       2.054361924164e-10       2.503359936569e-14      -1.525945890238e-13       0.000000000000e+00       4.245332658003e-11       4.801538034201e-12      -9.913501494736e-15 
   58       2.082457865632e-10       2.639823993073e-14      -1.914514074191e-13       0.000000000000e+00       4.085798927779e-11       4.632978539751e-12      -1.010842041780e-14 
   59       2.110853535419e-10       2.780282849827e-14      -2.321543773550e-13       0.000000000000e+00       3.933532378904e-11       4.473440700221e-12      -1.033222458827e-14 
   60       2.139558638546e-10       2.924708630468e-14      -2.746946232032e-13       0.000000000000e+00       3.788338907818e-11       4.322643022482e-12      -1.057709296316e-14 
   61       2.168580282327e-10       3.073067743911e-14      -3.190637966244e-13       0.000000000000e+00       3.650174800974e-11       4.180168892927e-12      -1.083039752040e-14 
   62       2.197916133926e-10       3.225320325570e-14      -3.652506437486e-13       0.000000000000e+00       3.518814200937e-11       4.045345776367e-12      -1.107764956026e-14 
   63       2.227553770585e-10       3.381420106963e-14      -4.132409655638e-13       0.000000000000e+00       3.393838514903e-11       3.917231237230e-12      -1.130242155609e-14 
   64       2.257470029857e-10       3.541314285325e-14      -4.630175783039e-13       0.000000000000e+00       3.274625823211e-11       3.794598960761e-12      -1.148626900496e-14 
   65       2.287641857975e-10       3.704938350654e-14      -5.145624255815e-13       0.000000000000e+00       3.160523638628e-11       3.676258519190e-12      -1.161265384464e-14 
   66       2.318082984809e-10       3.872199586377e-14      -5.678635236667e-13       0.000000000000e+00       3.051433499688e-11       3.562124780461e-12      -1.167985600411e-14 
