# Matter power spectrum P(k) at redshift z=1
# for k=1.04952e-05 to 58.9789 h/Mpc,
# number of wavenumbers equal to 575
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.302454652681e-02       9.258255602011e+03 
       1.315095306802e-02       9.281748179595e+03 
       1.327739561051e-02       9.304421188605e+03 
       1.340387421161e-02       9.326276319503e+03 
       1.353038895245e-02       9.347318682624e+03 
       1.365374112507e-02       9.367068823869e+03 
       1.365693993753e-02       9.367570583762e+03 
       1.378352729429e-02       9.387028866621e+03 
       1.391015117276e-02       9.405702748993e+03 
       1.403681174522e-02       9.423608875769e+03 
       1.416350920586e-02       9.440749505354e+03 
       1.429024377057e-02       9.457131943687e+03 
       1.441701567666e-02       9.472764131732e+03 
       1.454382518265e-02       9.487665045598e+03 
       1.467067256809e-02       9.501830871692e+03 
       1.479755813344e-02       9.515272230247e+03 
       1.492448219987e-02       9.528001112626e+03 
       1.505144510923e-02       9.540019740948e+03 
       1.517844722390e-02       9.551346194867e+03 
       1.530548892679e-02       9.561982160312e+03 
       1.543257062128e-02       9.571932807378e+03 
       1.555969273119e-02       9.581211209398e+03 
       1.568685570080e-02       9.589818496029e+03 
       1.581405999491e-02       9.597766759366e+03 
       1.594130609881e-02       9.605069465743e+03 
       1.606859451845e-02       9.611727637783e+03 
       1.619592578041e-02       9.617748174236e+03 
       1.632330043209e-02       9.623143264740e+03 
       1.645071904182e-02       9.627920197325e+03 
       1.657818219894e-02       9.632077013689e+03 
       1.670569051404e-02       9.635640173647e+03 
       1.683324461908e-02       9.638598115356e+03 
       1.696084516758e-02       9.640965517585e+03 
       1.708849283487e-02       9.642751964068e+03 
       1.721618831828e-02       9.643962266181e+03 
       1.734393233738e-02       9.644601935604e+03 
       1.747172563426e-02       9.644688241049e+03 
       1.759956897380e-02       9.644216107880e+03 
       1.772746314395e-02       9.643195710118e+03 
       1.785540895603e-02       9.641638649093e+03 
       1.798340724509e-02       9.639548305011e+03 
       1.811145887023e-02       9.636929757694e+03 
       1.823956471493e-02       9.633798629266e+03 
       1.836772568748e-02       9.630155080563e+03 
       1.849594272132e-02       9.626004100074e+03 
       1.862421677549e-02       9.621360818604e+03 
       1.875254883503e-02       9.616220789847e+03 
       1.888093991143e-02       9.610599888804e+03 
       1.900939104308e-02       9.604501623435e+03 
       1.913790329576e-02       9.597926883333e+03 
       1.926647776316e-02       9.590905473105e+03 
       1.939511556735e-02       9.583414255484e+03 
       1.952381785932e-02       9.575472022207e+03 
       1.965258581958e-02       9.567093053896e+03 
       1.978142065867e-02       9.558274736666e+03 
       1.991032361781e-02       9.549020129797e+03 
       2.003929596947e-02       9.539342213307e+03 
       2.016833901800e-02       9.529247691176e+03 
       2.029745410034e-02       9.518746659688e+03 
       2.042664258664e-02       9.507821516705e+03 
       2.055590588096e-02       9.496524472318e+03 
       2.068524542204e-02       9.484812856362e+03 
       2.081466268399e-02       9.472724041243e+03 
       2.094415917710e-02       9.460249535195e+03 
       2.107373644860e-02       9.447402380055e+03 
       2.120339608349e-02       9.434188882383e+03 
       2.133313970539e-02       9.420611761991e+03 
       2.146296897743e-02       9.406670262668e+03 
       2.159288560309e-02       9.392387035875e+03 
       2.172289132719e-02       9.377766555409e+03 
       2.185298793680e-02       9.362789860089e+03 
       2.198317726226e-02       9.347481593745e+03 
       2.211346117817e-02       9.331846349368e+03 
       2.224384160444e-02       9.315889240659e+03 
       2.237432050741e-02       9.299627205932e+03 
       2.250489990091e-02       9.283044182102e+03 
       2.263558184744e-02       9.266162094726e+03 
       2.276636845936e-02       9.248965215683e+03 
       2.289726190010e-02       9.231499256665e+03 
       2.302826438544e-02       9.213719927049e+03 
       2.315937818478e-02       9.195660454217e+03 
       2.329060562252e-02       9.177328882101e+03 
       2.342194907944e-02       9.158713987531e+03 
       2.355341099411e-02       9.139851163950e+03 
       2.368499386438e-02       9.120695925441e+03 
       2.381670024890e-02       9.101357696816e+03 
       2.394853276872e-02       9.081848217635e+03 
       2.408049410886e-02       9.061789971441e+03 
       2.421258702004e-02       9.041647931972e+03 
       2.434481432038e-02       9.021236882967e+03 
       2.447717889721e-02       9.000595733039e+03 
       2.460968370890e-02       8.979746390544e+03 
       2.474233178679e-02       8.958703636073e+03 
       2.487512623713e-02       8.937436599771e+03 
       2.500807024316e-02       8.915912706493e+03 
       2.514116706717e-02       8.894310516021e+03 
       2.527442005274e-02       8.872432270590e+03 
       2.540783262693e-02       8.850314358744e+03 
       2.554140830266e-02       8.828068189040e+03 
       2.567515068109e-02       8.805418716653e+03 
       2.580906345412e-02       8.782728712650e+03 
       2.594315040699e-02       8.759859183497e+03 
       2.607741542092e-02       8.736791203745e+03 
       2.621186247592e-02       8.713603985147e+03 
       2.634649565360e-02       8.690213348097e+03 
       2.648131914018e-02       8.666674960479e+03 
       2.661633722956e-02       8.642980448567e+03 
       2.675155432646e-02       8.619185743903e+03 
       2.688697494980e-02       8.595024834347e+03 
       2.702260373605e-02       8.570860241211e+03 
       2.715844544282e-02       8.546545101579e+03 
