# Matter power spectrum P(k) at redshift z=1
# for k=1.04952e-05 to 58.9789 h/Mpc,
# number of wavenumbers equal to 575
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049521996540e-05       1.760387739455e+01 
       2.312703140351e-05       3.773018985105e+01 
       3.580220203963e-05       5.751888002007e+01 
       4.855352787053e-05       7.717338766789e+01 
       6.141433211936e-05       9.681033440860e+01 
       7.441875102904e-05       1.165173303246e+02 
       8.760202852808e-05       1.363693372732e+02 
       1.010008235465e-04       1.564353986205e+02 
       1.146535337898e-04       1.767820844828e+02 
       1.286006398104e-04       1.974755814877e+02 
       1.428850732267e-04       2.185728195129e+02 
       1.575526129020e-04       2.401616689508e+02 
       1.726523127585e-04       2.623062618823e+02 
       1.882369646229e-04       2.850831076605e+02 
       2.043635989836e-04       3.085735290747e+02 
       2.210940257026e-04       3.328644782204e+02 
       2.384954154191e-04       3.580493569393e+02 
       2.566409204418e-04       3.842288460610e+02 
       2.756103311382e-04       4.115117420243e+02 
       2.954907599292e-04       4.400157899479e+02 
       3.163773396783e-04       4.698684930318e+02 
       3.383739161997e-04       5.012078656743e+02 
       3.615937054699e-04       5.341830851550e+02 
       3.861598746494e-04       5.689549814229e+02 
       4.122059921309e-04       6.056962791553e+02 
       4.398762757783e-04       6.445914966386e+02 
       4.693255511264e-04       6.858363652986e+02 
       5.007188142551e-04       7.296366392938e+02 
       5.342302801493e-04       7.762061252672e+02 
       5.700417908375e-04       8.257637830367e+02 
       6.083404640704e-04       8.785297516355e+02 
       6.493154893013e-04       9.347202254898e+02 
       6.931540295049e-04       9.945411662125e+02 
       7.400362688145e-04       1.058180992287e+03 
       7.901297556666e-04       1.125802522225e+03 
       8.435833195404e-04       1.197534644473e+03 
       9.005209670199e-04       1.273464332861e+03 
       9.610362618295e-04       1.353629743720e+03 
       1.025187732878e-03       1.438015142844e+03 
       1.092995810025e-03       1.526548259616e+03 
       1.164441652253e-03       1.619100512891e+03 
       1.239468023948e-03       1.715475665605e+03 
       1.317982131218e-03       1.815450818569e+03 
       1.365374112507e-03       1.875366752120e+03 
       1.399860102217e-03       1.918763318621e+03 
       1.484952629637e-03       2.025114113760e+03 
       1.573091217505e-03       2.134183929550e+03 
       1.664094490714e-03       2.245642822458e+03 
       1.757774114867e-03       2.359159232372e+03 
       1.853940004620e-03       2.474407374025e+03 
       1.952404638443e-03       2.591073288289e+03 
       2.052986422001e-03       2.708859229279e+03 
       2.155512137086e-03       2.827486758690e+03 
       2.259818574702e-03       2.946698136033e+03 
       2.365753482517e-03       3.066257131021e+03 
       2.473175965450e-03       3.185949022868e+03 
       2.581956471182e-03       3.305579795519e+03 
       2.691976476543e-03       3.424975100721e+03 
       2.803127971240e-03       3.543979259800e+03 
       2.915312815527e-03       3.662453912209e+03 
       3.028442030286e-03       3.780275827136e+03 
       3.142435062419e-03       3.897337479019e+03 
       3.257219055803e-03       4.013542134267e+03 
       3.372728148150e-03       4.128806541747e+03 
       3.488902806543e-03       4.243056319516e+03 
       3.605689208915e-03       4.356228547829e+03 
       3.723038674752e-03       4.468266141310e+03 
       3.840907145565e-03       4.579121132243e+03 
       3.959254713861e-03       4.688751982072e+03 
       4.078045198199e-03       4.797122667447e+03 
       4.197245761236e-03       4.904203643071e+03 
       4.316826567374e-03       5.009967752936e+03 
       4.436760476516e-03       5.114395201268e+03 
       4.557022770484e-03       5.217467602139e+03 
       4.677590908857e-03       5.319169771813e+03 
       4.798444311143e-03       5.419491603743e+03 
       4.919564162495e-03       5.518422839362e+03 
       5.040933240388e-03       5.615958100126e+03 
       5.162535759947e-03       5.712092555141e+03 
       5.284357235852e-03       5.806821451298e+03 
       5.406384358951e-03       5.900146969601e+03 
       5.528604885928e-03       5.992066529158e+03 
       5.651007540563e-03       6.082583397050e+03 
       5.773581925274e-03       6.171701376839e+03 
       5.896318441787e-03       6.259422302588e+03 
       6.019208219924e-03       6.345752083921e+03 
       6.142243053592e-03       6.430696681787e+03 
       6.265415343199e-03       6.514262364690e+03 
       6.388718043770e-03       6.596454665948e+03 
       6.512144618156e-03       6.677283372108e+03 
       6.635688994790e-03       6.756754928284e+03 
       6.759345529484e-03       6.834878295510e+03 
       6.883108970869e-03       6.911663640011e+03 
       7.006974429057e-03       6.987115330088e+03 
       7.130937347233e-03       7.061248591909e+03 
       7.254993475829e-03       7.134071472969e+03 
       7.379138849064e-03       7.205593090737e+03 
       7.503369763566e-03       7.275819477971e+03 
       7.627682758903e-03       7.344769218284e+03 
       7.752074599819e-03       7.412445494769e+03 
       7.876542260001e-03       7.478855601788e+03 
       8.001082907249e-03       7.544021169132e+03 
       8.125693889895e-03       7.607949496898e+03 
       8.250372724364e-03       7.670649310624e+03 
       8.375117083770e-03       7.732129079834e+03 
       8.499924787441e-03       7.792406988695e+03 
       8.624793791300e-03       7.851487339789e+03 
       8.749722179018e-03       7.909381808447e+03 
       8.874708153873e-03       7.966100185971e+03 
       8.999750031245e-03       8.021653487205e+03 
       9.124846231701e-03       8.076061647331e+03 
       9.249995274615e-03       8.129325466735e+03 
       9.375195772273e-03       8.181457257100e+03 
       9.500446424428e-03       8.232470036301e+03 
       9.625746013265e-03       8.282370054409e+03 
       9.751093398737e-03       8.331173760075e+03 
       9.876487514253e-03       8.378890264407e+03 
       1.000192736268e-02       8.425526143088e+03 
       1.012741201262e-02       8.471096406955e+03 
       1.025294059501e-02       8.515608807921e+03 
       1.037851229988e-02       8.559076768716e+03 
       1.050412637342e-02       8.601502399234e+03 
       1.062978211522e-02       8.642908440336e+03 
       1.075547887571e-02       8.683299764296e+03 
       1.088121605378e-02       8.722681920725e+03 
       1.100699309458e-02       8.761068702495e+03 
       1.113280948744e-02       8.798468655467e+03 
       1.125866476396e-02       8.834897068981e+03 
       1.138455849626e-02       8.870353556470e+03 
       1.151049029527e-02       8.904859031714e+03 
       1.163645980924e-02       8.938417466394e+03 
       1.176246672226e-02       8.971036168112e+03 
       1.188851075295e-02       9.002733574770e+03 
       1.201459165321e-02       9.033511063943e+03 
       1.214070920707e-02       9.063379612925e+03 
       1.226686322961e-02       9.092350856798e+03 
       1.239305356596e-02       9.120435218148e+03 
       1.251928009038e-02       9.147638089102e+03 
       1.264554270538e-02       9.173975624294e+03 
       1.277184134097e-02       9.199447976952e+03 
       1.289817595385e-02       9.224069228645e+03 
       1.302454652681e-02       9.247849476514e+03 
       1.315095306802e-02       9.270794355284e+03 
       1.327739561051e-02       9.292916806224e+03 
       1.340387421161e-02       9.314221717442e+03 
       1.353038895245e-02       9.334713737984e+03 
       1.365374112507e-02       9.353927636902e+03 
       1.365693993753e-02       9.354415698976e+03 
       1.378352729429e-02       9.373319025569e+03 
       1.391015117276e-02       9.391451962897e+03 
       1.403681174522e-02       9.408808693835e+03 
       1.416350920586e-02       9.425398510323e+03 
       1.429024377057e-02       9.441243164548e+03 
       1.441701567666e-02       9.456334233061e+03 
       1.454382518265e-02       9.470687975906e+03 
       1.467067256809e-02       9.484310863341e+03 
       1.479755813344e-02       9.497211652158e+03 
       1.492448219987e-02       9.509398556644e+03 
       1.505144510923e-02       9.520887606396e+03 
       1.517844722390e-02       9.531668365080e+03 
       1.530548892679e-02       9.541774561314e+03 
       1.543257062128e-02       9.551190959189e+03 
       1.555969273119e-02       9.559937449975e+03 
       1.568685570080e-02       9.568017354244e+03 
       1.581405999491e-02       9.575440742899e+03 
       1.594130609881e-02       9.582218674159e+03 
       1.606859451845e-02       9.588354017204e+03 
       1.619592578041e-02       9.593853942618e+03 
       1.632330043209e-02       9.598729575121e+03 
