#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_rho_fld       19:rho_plus_p_theta_fld    20:delta_p_fld        
       7.010579180443e-01       1.522359446871e-06      -1.202789592021e+00       2.101063598364e-03       3.232462359983e-09       8.081155899958e-09       6.993668561959e-16       1.616231179992e-09      -9.020921940157e-01       2.101063598364e-03       6.002998642410e-01       6.995483796091e-01      -1.202789592021e+00       2.100602918958e-03       1.966220914618e-04      -9.020921940158e-01       2.102018668956e-03      -1.643721866186e-13       3.835353883734e-16       3.930508696175e-13 
       7.010580487677e-01       1.522359731169e-06      -1.202789593099e+00       2.101063990015e-03       3.232464169825e-09       8.081160424562e-09       6.993675089789e-16       1.616232084912e-09      -9.020921948246e-01       2.101063990015e-03       6.002998641731e-01       6.995483794310e-01      -1.202789593099e+00       2.100603310351e-03       1.966221646802e-04      -9.020921948249e-01       2.102019061141e-03      -1.643721613498e-13       3.835356156865e-16       3.930510292761e-13 
       7.010581794912e-01       1.522360015466e-06      -1.202789594178e+00       2.101064381667e-03       3.232465979667e-09       8.081164949167e-09       6.993681617624e-16       1.616232989833e-09      -9.020921956335e-01       2.101064381667e-03       6.002998641051e-01       6.995483792530e-01      -1.202789594178e+00       2.100603701745e-03       1.966222378987e-04      -9.020921956339e-01       2.102019453327e-03      -1.643721360810e-13       3.835358429997e-16       3.930511889348e-13 
       7.010594867259e-01       1.522362858438e-06      -1.202789604964e+00       2.101068298182e-03       3.232484078126e-09       8.081210195316e-09       6.993746896244e-16       1.616242039063e-09      -9.020922037229e-01       2.101068298182e-03       6.002998634255e-01       6.995483774720e-01      -1.202789604963e+00       2.100607615681e-03       1.966229700840e-04      -9.020922037245e-01       2.102023375181e-03      -1.643718833956e-13       3.835381161366e-16       3.930527855236e-13 
       7.010607939606e-01       1.522365701411e-06      -1.202789615750e+00       2.101072214698e-03       3.232502176654e-09       8.081255441635e-09       6.993812175353e-16       1.616251088327e-09      -9.020922118124e-01       2.101072214698e-03       6.002998627459e-01       6.995483756910e-01      -1.202789615748e+00       2.100611529618e-03       1.966237022707e-04      -9.020922118153e-01       2.102027297036e-03      -1.643716307149e-13       3.835403892826e-16       3.930543821158e-13 
       7.010621011953e-01       1.522368544383e-06      -1.202789626536e+00       2.101076131213e-03       3.232520275250e-09       8.081300688124e-09       6.993877454951e-16       1.616260137625e-09      -9.020922199021e-01       2.101076131213e-03       6.002998620662e-01       6.995483739100e-01      -1.202789626533e+00       2.100615443555e-03       1.966244344587e-04      -9.020922199062e-01       2.102031218890e-03      -1.643713780388e-13       3.835426624378e-16       3.930559787114e-13 
       7.010634084300e-01       1.522371387356e-06      -1.202789637322e+00       2.101080047729e-03       3.232538373913e-09       8.081345934782e-09       6.993942735036e-16       1.616269186956e-09      -9.020922279917e-01       2.101080047729e-03       6.002998613865e-01       6.995483721290e-01      -1.202789637319e+00       2.100619357492e-03       1.966251666481e-04      -9.020922279971e-01       2.102035140745e-03      -1.643711253673e-13       3.835449356023e-16       3.930575753106e-13 
       7.010764807769e-01       1.522399817082e-06      -1.202789745184e+00       2.101119212885e-03       3.232719364260e-09       8.081798410649e-09       6.994595562704e-16       1.616359682130e-09      -9.020923088878e-01       2.101119212885e-03       6.002998545897e-01       6.995483543191e-01      -1.202789745172e+00       2.100658496857e-03       1.966324886171e-04      -9.020923089056e-01       2.102074359292e-03      -1.643685989056e-13       3.835676677541e-16       3.930735414954e-13 
       7.010895531238e-01       1.522428246809e-06      -1.202789853044e+00       2.101158378037e-03       3.232900361362e-09       8.082250903405e-09       6.995248439136e-16       1.616450180681e-09      -9.020923897833e-01       2.101158378037e-03       6.002998477931e-01       6.995483365095e-01      -1.202789853025e+00       2.100697636217e-03       1.966398107224e-04      -9.020923898137e-01       2.102113577836e-03      -1.643660729043e-13       3.835904008285e-16       3.930895080308e-13 
       7.011026254707e-01       1.522456676538e-06      -1.202789960904e+00       2.101197543184e-03       3.233081365220e-09       8.082703413051e-09       6.995901364333e-16       1.616540682610e-09      -9.020924706783e-01       2.101197543184e-03       6.002998409966e-01       6.995483187003e-01      -1.202789960877e+00       2.100736775572e-03       1.966471329640e-04      -9.020924707211e-01       2.102152796379e-03      -1.643635473633e-13       3.836131348254e-16       3.931054749169e-13 
