# Matter power spectrum P(k) at redshift z=2
# for k=1.04952e-05 to 58.9789 h/Mpc,
# number of wavenumbers equal to 575
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049521996540e-05       8.357024998572e+00 
       2.312703140351e-05       1.791152999358e+01 
       3.580220203963e-05       2.730578218021e+01 
       4.855352787053e-05       3.663637700580e+01 
       6.141433211936e-05       4.595869272734e+01 
       7.441875102904e-05       5.531433643271e+01 
       8.760202852808e-05       6.473891212917e+01 
       1.010008235465e-04       7.426521668613e+01 
       1.146535337898e-04       8.392487357581e+01 
       1.286006398104e-04       9.374932840300e+01 
       1.428850732267e-04       1.037705316799e+02 
       1.575526129020e-04       1.140214705310e+02 
       1.726523127585e-04       1.245366208748e+02 
       1.882369646229e-04       1.353523589382e+02 
       2.043635989836e-04       1.465073548522e+02 
       2.210940257026e-04       1.580429612504e+02 
       2.384954154191e-04       1.700036045827e+02 
       2.566409204418e-04       1.824371807785e+02 
       2.756103311382e-04       1.953954545780e+02 
       2.954907599292e-04       2.089344573650e+02 
       3.163773396783e-04       2.231148746309e+02 
       3.383739161997e-04       2.380024061527e+02 
       3.615937054699e-04       2.536680786252e+02 
       3.861598746494e-04       2.701884815981e+02 
       4.122059921309e-04       2.876458851891e+02 
       4.398762757783e-04       3.061281947741e+02 
       4.693255511264e-04       3.257286766587e+02 
       5.007188142551e-04       3.465453925974e+02 
       5.342302801493e-04       3.686802618038e+02 
       5.700417908375e-04       3.922376773296e+02 
       6.083404640704e-04       4.173226083147e+02 
       6.493154893013e-04       4.440381496026e+02 
       6.931540295049e-04       4.724825123811e+02 
       7.400362688145e-04       5.027455237845e+02 
       7.901297556666e-04       5.349047679868e+02 
       8.435833195404e-04       5.690215985845e+02 
       9.005209670199e-04       6.051373228815e+02 
       9.610362618295e-04       6.432699159455e+02 
       1.025187732878e-03       6.834116283704e+02 
       1.092995810025e-03       7.255277763059e+02 
       1.164441652253e-03       7.695569216553e+02 
       1.239468023948e-03       8.154055651166e+02 
       1.317982131218e-03       8.629677107124e+02 
       1.365374112507e-03       8.914725880862e+02 
       1.399860102217e-03       9.121186888884e+02 
       1.484952629637e-03       9.627167444387e+02 
       1.573091217505e-03       1.014610655645e+03 
       1.664094490714e-03       1.067644171813e+03 
