# Matter power spectrum P(k) at redshift z=0.5
# for k=1.04952e-05 to 58.9789 h/Mpc,
# number of wavenumbers equal to 575
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049521996540e-05       2.809686578162e+01 
       2.312703140351e-05       6.021989501177e+01 
       3.580220203963e-05       9.180449923204e+01 
       4.855352787053e-05       1.231756129864e+02 
       6.141433211936e-05       1.545196025068e+02 
       7.441875102904e-05       1.859765283650e+02 
       8.760202852808e-05       2.176662671909e+02 
       1.010008235465e-04       2.496992496491e+02 
       1.146535337898e-04       2.821819632213e+02 
       1.286006398104e-04       3.152202819214e+02 
       1.428850732267e-04       3.488963101542e+02 
       1.575526129020e-04       3.833666185474e+02 
       1.726523127585e-04       4.187264568626e+02 
       1.882369646229e-04       4.550981300329e+02 
       2.043635989836e-04       4.926116032091e+02 
       2.210940257026e-04       5.314057942933e+02 
       2.384954154191e-04       5.716298715937e+02 
       2.566409204418e-04       6.134445635993e+02 
       2.756103311382e-04       6.570234763410e+02 
       2.954907599292e-04       7.025544041279e+02 
       3.163773396783e-04       7.502405977454e+02 
       3.383739161997e-04       8.003019420268e+02 
       3.615937054699e-04       8.529759707006e+02 
       3.861598746494e-04       9.085186215128e+02 
       4.122059921309e-04       9.672045999276e+02 
       4.398762757783e-04       1.029327200358e+03 
       4.693255511264e-04       1.095197371930e+03 
       5.007188142551e-04       1.165141824403e+03 
       5.342302801493e-04       1.239499909193e+03 
       5.700417908375e-04       1.318619040066e+03 
       6.083404640704e-04       1.402848423420e+03 
       6.493154893013e-04       1.492530981411e+03 
       6.931540295049e-04       1.587993431661e+03 
       7.400362688145e-04       1.689534750680e+03 
       7.901297556666e-04       1.797413432833e+03 
       8.435833195404e-04       1.911834287214e+03 
       9.005209670199e-04       2.032935729143e+03 
       9.610362618295e-04       2.160778732932e+03 
       1.025187732878e-03       2.295338631265e+03 
       1.092995810025e-03       2.436500736294e+03 
       1.164441652253e-03       2.584060531689e+03 
       1.239468023948e-03       2.737705440002e+03 
       1.317982131218e-03       2.897080210751e+03 
       1.365374112507e-03       2.992590609903e+03 
       1.399860102217e-03       3.061766060712e+03 
       1.484952629637e-03       3.231286205923e+03 
       1.573091217505e-03       3.405131803956e+03 
       1.664094490714e-03       3.582777281465e+03 
       1.757774114867e-03       3.763694733695e+03 
       1.853940004620e-03       3.947365547128e+03 
       1.952404638443e-03       4.133289832638e+03 
       2.052986422001e-03       4.320993271515e+03 
       2.155512137086e-03       4.510032001457e+03 
       2.259818574702e-03       4.699994943418e+03 
       2.365753482517e-03       4.890505277616e+03 
       2.473175965450e-03       5.081220555448e+03 
       2.581956471182e-03       5.271831498872e+03 
       2.691976476543e-03       5.462060279417e+03 
       2.803127971240e-03       5.651658809150e+03 
       2.915312815527e-03       5.840406516029e+03 
       3.028442030286e-03       6.028106843119e+03 
       3.142435062419e-03       6.214588230819e+03 
       3.257219055803e-03       6.399696360721e+03 
       3.372728148150e-03       6.583298498229e+03 
       3.488902806543e-03       6.765276123177e+03 
       3.605689208915e-03       6.945529005182e+03 
       3.723038674752e-03       7.123966245576e+03 
