# Matter power spectrum P(k) at redshift z=0
# for k=1.04952e-05 to 58.9789 h/Mpc,
# number of wavenumbers equal to 575
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049521996540e-05       4.722543878326e+01 
       2.312703140351e-05       1.012207715624e+02 
       3.580220203963e-05       1.543169737195e+02 
       4.855352787053e-05       2.070632395033e+02 
       6.141433211936e-05       2.597758079359e+02 
       7.441875102904e-05       3.126930435954e+02 
       8.760202852808e-05       3.660193596935e+02 
       1.010008235465e-04       4.199432507180e+02 
       1.146535337898e-04       4.746465433057e+02 
       1.286006398104e-04       5.303099792863e+02 
       1.428850732267e-04       5.871170311776e+02 
       1.575526129020e-04       6.452569117240e+02 
       1.726523127585e-04       7.049270226332e+02 
       1.882369646229e-04       7.663352583211e+02 
       2.043635989836e-04       8.297020954329e+02 
       2.210940257026e-04       8.952627325093e+02 
       2.384954154191e-04       9.632691349716e+02 
       2.566409204418e-04       1.033992158258e+03 
       2.756103311382e-04       1.107723624449e+03 
       2.954907599292e-04       1.184778378451e+03 
       3.163773396783e-04       1.265496288305e+03 
       3.383739161997e-04       1.350244068660e+03 
       3.615937054699e-04       1.439416835106e+03 
       3.861598746494e-04       1.533439264877e+03 
       4.122059921309e-04       1.632766093494e+03 
       4.398762757783e-04       1.737881794321e+03 
       4.693255511264e-04       1.849299029569e+03 
       5.007188142551e-04       1.967555615570e+03 
       5.342302801493e-04       2.093209532466e+03 
       5.700417908375e-04       2.226831607626e+03 
       6.083404640704e-04       2.368995548126e+03 
       6.493154893013e-04       2.520264996834e+03 
       6.931540295049e-04       2.681177623535e+03 
       7.400362688145e-04       2.852226487361e+03 
       7.901297556666e-04       3.033839332496e+03 
       8.435833195404e-04       3.226356923419e+03 
       9.005209670199e-04       3.430011980302e+03 
       9.610362618295e-04       3.644910615158e+03 
       1.025187732878e-03       3.871018221170e+03 
       1.092995810025e-03       4.108151597094e+03 
       1.164441652253e-03       4.355978690547e+03 
       1.239468023948e-03       4.613987256947e+03 
       1.317982131218e-03       4.881594309226e+03 
       1.365374112507e-03       5.041961431520e+03 
       1.399860102217e-03       5.158110487461e+03 
