# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.656151046046e-10       8.285532027840e-15       2.400365215949e-13       7.424104165766e-17       8.986523433099e-11       9.504484355594e-12      -7.358434665411e-15 
   41       1.680601133120e-10       8.995997042729e-15       2.301640753448e-13       7.799429584496e-17       8.548858697557e-11       9.081424562463e-12      -7.578713142678e-15 
   42       1.705298834471e-10       9.744703179907e-15       2.188346264633e-13       8.184089514948e-17       8.140061614381e-11       8.685405982308e-12      -7.929002169962e-15 
   43       1.730250342863e-10       1.053243621020e-14       2.060238146267e-13       8.578081038466e-17       7.755773678096e-11       8.307435515130e-12      -8.249908020242e-15 
   44       1.755490007853e-10       1.135981273160e-14       1.916767648857e-13       8.981399708554e-17       7.395430570588e-11       7.947032058865e-12      -8.514022694705e-15 
   45       1.781039132481e-10       1.222735583369e-14       1.757261525788e-13       9.394039958275e-17       7.058687746681e-11       7.605517619127e-12      -8.732585588507e-15 
   46       1.806888475261e-10       1.313552200656e-14       1.580988272334e-13       9.815995250398e-17       6.743997576966e-11       7.283412175845e-12      -8.919962534381e-15 
   47       1.832995393662e-10       1.408469793617e-14       1.387153699611e-13       1.024725806866e-16       6.448515393641e-11       6.980363223301e-12      -9.093835579599e-15 
   48       1.859306207016e-10       1.507519700994e-14       1.175025725798e-13       1.068781968670e-16       6.168980448995e-11       6.695414880244e-12      -9.272128740605e-15 
   49       1.885837404723e-10       1.610725514618e-14       9.443606743396e-14       1.113766941824e-16       5.904871670066e-11       6.428069330203e-12      -9.462317705489e-15 
   50       1.912612421829e-10       1.718102828305e-14       6.950895395313e-14       1.159679514051e-16       5.655980048787e-11       6.177403530066e-12      -9.669432725673e-15 
   51       1.939636887087e-10       1.829658942550e-14       4.272013743799e-14       1.206518347856e-16       5.421468271309e-11       5.941703936294e-12      -9.899082208210e-15 
   52       1.966897053140e-10       1.945392542578e-14       1.407454572677e-14       1.254281978514e-16       5.199826504287e-11       5.718413369955e-12      -1.015747596099e-14 
   53       1.994374098559e-10       2.065299091466e-14      -1.642168695389e-14       1.302968835395e-16       4.989349813504e-11       5.504879993898e-12      -1.044769082790e-14 
   54       2.022094965033e-10       2.189389378664e-14      -4.877762111016e-14       1.352577316999e-16       4.789816321111e-11       5.300952661242e-12      -1.075728673096e-14 
   55       2.050091856648e-10       2.317675179991e-14      -8.300495067212e-14       1.403105731714e-16       4.601163516338e-11       5.106960335567e-12      -1.106754669497e-14 
   56       2.078386628320e-10       2.450163879598e-14      -1.191133338152e-13       1.454552275166e-16       4.422982555708e-11       4.922949330533e-12      -1.135682443538e-14 
   57       2.106989881472e-10       2.586858387650e-14      -1.571103873134e-13       1.506915029192e-16       4.254495920696e-11       4.748663806458e-12      -1.160041005175e-14 
   58       2.135900059709e-10       2.727757058009e-14      -1.970016808918e-13       1.560191960805e-16       4.094535075386e-11       4.583526266889e-12      -1.177039572115e-14 
   59       2.165110062159e-10       2.872844190190e-14      -2.387898505456e-13       1.614381017848e-16       3.941863907274e-11       4.426810905477e-12      -1.184308676583e-14 
   60       2.194630930815e-10       3.022059146475e-14      -2.824717108647e-13       1.669480444217e-16       3.796287506069e-11       4.278254951854e-12      -1.182354967237e-14 
   61       2.224472075609e-10       3.175319904642e-14      -3.280404609329e-13       1.725488536148e-16       3.657761847045e-11       4.137555081255e-12      -1.172653761703e-14 
   62       2.254633604196e-10       3.332531449791e-14      -3.754864716116e-13       1.782403554179e-16       3.526060243859e-11       4.004174345813e-12      -1.156956532239e-14 
   63       2.285105672466e-10       3.493585372855e-14      -4.247972500275e-13       1.840223725397e-16       3.400762727671e-11       3.877329208436e-12      -1.137303052623e-14 
   64       2.315867835055e-10       3.658359469094e-14      -4.759574040596e-13       1.898947245681e-16       3.281245426267e-11       3.755976576673e-12      -1.116033545026e-14 
   65       2.346899300819e-10       3.826732751656e-14      -5.289496007871e-13       1.958572419276e-16       3.166853823404e-11       3.639088847169e-12      -1.095316892425e-14 
   66       2.378213682527e-10       3.998635089683e-14      -5.837577575239e-13       2.019098106795e-16       3.057489041456e-11       3.526575866182e-12      -1.075591859705e-14 
   67       2.409830467279e-10       4.174007396046e-14      -6.403644651049e-13       2.080523376395e-16       2.953127104360e-11       3.418535623121e-12      -1.056816488420e-14 
   68       2.441764422912e-10       4.352787169049e-14      -6.987500459926e-13       2.142847380795e-16       2.853640638534e-11       3.314978650996e-12      -1.038921537771e-14 
   69       2.474025253547e-10       4.534908522123e-14      -7.588925465679e-13       2.206069363374e-16       2.758793395500e-11       3.215823116528e-12      -1.021809094864e-14 
   70       2.506617255134e-10       4.720302213520e-14      -8.207677294205e-13       2.270188664251e-16       2.668234774509e-11       3.120889910260e-12      -1.005351184964e-14 
   71       2.539538971000e-10       4.908895676008e-14      -8.843490656393e-13       2.335204726378e-16       2.581494345156e-11       3.029897736668e-12      -9.893883817469e-15 
   72       2.572787261773e-10       5.100605065967e-14      -9.496076418740e-13       2.401117174447e-16       2.498103516657e-11       2.942545110436e-12      -9.737816632166e-15 
   73       2.606371185026e-10       5.295309577831e-14      -1.016511877999e-12       2.467926055618e-16       2.417999755213e-11       2.858785477525e-12      -9.585825913198e-15 
   74       2.640300169755e-10       5.492872230012e-14      -1.085027741071e-12       2.535631656213e-16       2.341190418918e-11       2.778596276520e-12      -9.438934389009e-15 
   75       2.674579598532e-10       5.693147258730e-14      -1.155118816264e-12       2.604234440615e-16       2.267629955180e-11       2.701893835644e-12      -9.298166672573e-15 
   76       2.709210563837e-10       5.895979965498e-14      -1.226746297214e-12       2.673735059017e-16       2.197217326235e-11       2.628530447036e-12      -9.164547520485e-15 
   77       2.744189624391e-10       6.101206564614e-14      -1.299868976364e-12       2.744134355170e-16       2.129793434663e-11       2.558291441013e-12      -9.039100092042e-15 
   78       2.779508561485e-10       6.308654030648e-14      -1.374443235310e-12       2.815433374137e-16       2.065138548901e-11       2.490892260348e-12      -8.922844208331e-15 
   79       2.815154135314e-10       6.518139945933e-14      -1.450423035142e-12       2.887633370046e-16       2.002969728752e-11       2.425975534534e-12      -8.816794611315e-15 
   80       2.851113578101e-10       6.729479934192e-14      -1.527760780971e-12       2.960735746305e-16       1.943011486362e-11       2.363198609965e-12      -8.721614250028e-15 
   81       2.887392708175e-10       6.942511783696e-14      -1.606410109640e-12       3.034741847267e-16       1.885227565196e-11       2.302520083110e-12      -8.636508626414e-15 
   82       2.924000531606e-10       7.157075254680e-14      -1.686323570781e-12       3.109653144366e-16       1.829624901883e-11       2.243957920430e-12      -8.560135357800e-15 
   83       2.960943649497e-10       7.373004853459e-14      -1.767451802074e-12       3.185471306835e-16       1.776182766449e-11       2.187502190883e-12      -8.490924091251e-15 
   84       2.998226120553e-10       7.590129820404e-14      -1.849743535775e-12       3.262198208203e-16       1.724851544039e-11       2.133113815311e-12      -8.427068374274e-15 
   85       3.035849323654e-10       7.808274117908e-14      -1.933145605253e-12       3.339835932797e-16       1.675551516645e-11       2.080723315813e-12      -8.366517525515e-15 
   86       3.073811820419e-10       8.027256418365e-14      -2.017602951521e-12       3.418386782244e-16       1.628171644831e-11       2.030229565131e-12      -8.306968505458e-15 
   87       3.112109217772e-10       8.246890092139e-14      -2.103058629770e-12       3.497853281968e-16       1.582568349459e-11       1.981498536025e-12      -8.245857787120e-15 
   88       3.150734030517e-10       8.466983195539e-14      -2.189453815903e-12       3.578238187692e-16       1.538564293414e-11       1.934362050652e-12      -8.180353226756e-15 
   89       3.189678630454e-10       8.687340941443e-14      -2.276728367562e-12       3.659544429859e-16       1.495990836811e-11       1.888660331767e-12      -8.108075283667e-15 
   90       3.228944923505e-10       8.907773581560e-14      -2.364822593841e-12       3.741774922731e-16       1.454825690566e-11       1.844380032031e-12      -8.029408057181e-15 
   91       3.268535944473e-10       9.128089744231e-14      -2.453675776510e-12       3.824932737178e-16       1.415074712088e-11       1.801535653587e-12      -7.945537485119e-15 
   92       3.308452815704e-10       9.348094086664e-14      -2.543225654869e-12       3.909021165589e-16       1.376729597945e-11       1.760127087634e-12      -7.857757025367e-15 
   93       3.348694655897e-10       9.567587320098e-14      -2.633408440586e-12       3.994043727439e-16       1.339767319875e-11       1.720139020015e-12      -7.767470453155e-15 
   94       3.389258488911e-10       9.786366234971e-14      -2.724158832536e-12       4.080004174859e-16       1.304149560797e-11       1.681540336809e-12      -7.676194658326e-15 
   95       3.430139152576e-10       1.000422372608e-13      -2.815410031643e-12       4.166906498210e-16       1.269822150820e-11       1.644283529909e-12      -7.585562442623e-15 
   96       3.471329207499e-10       1.022094881777e-13      -2.907093755718e-12       4.254754931650e-16       1.236714503253e-11       1.608304102616e-12      -7.497325316958e-15 
   97       3.512818845873e-10       1.043632668905e-13      -2.999140254303e-12       4.343553958703e-16       1.204739050616e-11       1.573519975222e-12      -7.413356298696e-15 
   98       3.554595800288e-10       1.065013869882e-13      -3.091478323508e-12       4.433308317833e-16       1.173790680647e-11       1.539830890595e-12      -7.335652708927e-15 
   99       3.596648182197e-10       1.086216733490e-13      -3.184035951181e-12       4.524023005689e-16       1.143770954960e-11       1.507141430896e-12      -7.265851016980e-15 
  100       3.638973653203e-10       1.107221180673e-13      -3.276742324615e-12       4.615703275326e-16       1.114665898257e-11       1.475435072474e-12      -7.203686918361e-15 
  101       3.681571389444e-10       1.128007471824e-13      -3.369526136105e-12       4.708354648079e-16       1.086478230820e-11       1.444709564761e-12      -7.148321321911e-15 
  102       3.724439212845e-10       1.148555742484e-13      -3.462315000191e-12       4.801982921338e-16       1.059203308571e-11       1.414953950606e-12      -7.098805765743e-15 
  103       3.767573535438e-10       1.168846011817e-13      -3.555035476131e-12       4.896594174085e-16       1.032828859480e-11       1.386148258058e-12      -7.054079299929e-15 
  104       3.810969303683e-10       1.188858191105e-13      -3.647613090385e-12       4.992194772442e-16       1.007334719970e-11       1.358263192144e-12      -7.012965369207e-15 
  105       3.854619942785e-10       1.208572092224e-13      -3.739972359097e-12       5.088791375210e-16       9.826925713221e-12       1.331259826653e-12      -6.974168695674e-15 
  106       3.898517301016e-10       1.227967436138e-13      -3.832036810573e-12       5.186390939410e-16       9.588656760801e-12       1.305089295920e-12      -6.936272161489e-15 
  107       3.942651594034e-10       1.247023861374e-13      -3.923729007764e-12       5.285000725827e-16       9.358086144586e-12       1.279692486605e-12      -6.897733691563e-15 
  108       3.987011349201e-10       1.265720932516e-13      -4.014970570743e-12       5.384628304554e-16       9.134670207473e-12       1.254999729476e-12      -6.856883136267e-15 
  109       4.031583349905e-10       1.284038148684e-13      -4.105682199190e-12       5.485281560529e-16       8.917773197169e-12       1.230930491193e-12      -6.811919154122e-15 
  110       4.076354752938e-10       1.301955457262e-13      -4.195784666756e-12       5.586968432089e-16       8.706811339738e-12       1.207412194153e-12      -6.761319877355e-15 
  111       4.121319868083e-10       1.319454851589e-13      -4.285201900585e-12       5.689696076704e-16       8.501711671697e-12       1.184440074733e-12      -6.705141329746e-15 
  112       4.166474146003e-10       1.336518994566e-13      -4.373858339805e-12       5.793471608345e-16       8.302507268670e-12       1.162024444438e-12      -6.643880117315e-15 
  113       4.211812048809e-10       1.353130744995e-13      -4.461678030546e-12       5.898302357823e-16       8.109194604610e-12       1.140172127768e-12      -6.578075438145e-15 
  114       4.257327015735e-10       1.369273171023e-13      -4.548584657962e-12       6.004195875704e-16       7.921732357725e-12       1.118886341994e-12      -6.508310031741e-15 
  115       4.303011428817e-10       1.384929563597e-13      -4.634501578270e-12       6.111159935226e-16       7.740040216389e-12       1.098166576933e-12      -6.435211128391e-15 
  116       4.348856578568e-10       1.400083449915e-13      -4.719351850782e-12       6.219202535221e-16       7.563997685068e-12       1.078008474715e-12      -6.359451398525e-15 
  117       4.394852629653e-10       1.414718606873e-13      -4.803058269931e-12       6.328331903028e-16       7.393442890235e-12       1.058403709561e-12      -6.281749902076e-15 
  118       4.440988586569e-10       1.428819074519e-13      -4.885543397313e-12       6.438556497414e-16       7.228171386291e-12       1.039339867555e-12      -6.202873037841e-15 
  119       4.487252259321e-10       1.442369169499e-13      -4.966729593709e-12       6.549885011495e-16       7.067934961482e-12       1.020800326414e-12      -6.123635492840e-15 
  120       4.533630229094e-10       1.455353498513e-13      -5.046539051126e-12       6.662326375645e-16       6.912440443822e-12       1.002764135264e-12      -6.044901191674e-15 
  121       4.580107813935e-10       1.467756971762e-13      -5.124893824825e-12       6.775889760427e-16       6.761348507008e-12       9.852058944116e-13      -5.967584245890e-15 
  122       4.626669034425e-10       1.479564816399e-13      -5.201715865353e-12       6.890584579497e-16       6.614272476343e-12       9.680956351166e-13      -5.892649903335e-15 
  123       4.673298381459e-10       1.490763069956e-13      -5.276927873844e-12       7.006420125044e-16       6.470862190931e-12       9.514054970656e-13      -5.820909086176e-15 
  124       4.719986422630e-10       1.501340096157e-13      -5.350455910949e-12       7.123404420422e-16       6.331069042680e-12       9.351308854997e-13      -5.752373255954e-15 
  125       4.766724778230e-10       1.511285269400e-13      -5.422227149384e-12       7.241545240586e-16       6.194909276920e-12       9.192715293976e-13      -5.686826878239e-15 
  126       4.813504356901e-10       1.520588527435e-13      -5.492169115629e-12       7.360850467806e-16       6.062381143846e-12       9.038248354201e-13      -5.624026527964e-15 
  127       4.860315335489e-10       1.529240388587e-13      -5.560209728431e-12       7.481328091692e-16       5.933464373648e-12       8.887858211667e-13      -5.563700214778e-15 
  128       4.907147138901e-10       1.537231968982e-13      -5.626277337315e-12       7.602986209221e-16       5.808119651636e-12       8.741470484306e-13      -5.505546708398e-15 
  129       4.953988419959e-10       1.544554999776e-13      -5.690300761096e-12       7.725833024762e-16       5.686288093363e-12       8.598985564554e-13      -5.449234863963e-15 
  130       5.000827039255e-10       1.551201844382e-13      -5.752209326386e-12       7.849876850106e-16       5.567890719760e-12       8.460277951904e-13      -5.394402947386e-15 
  131       5.047650045005e-10       1.557165515694e-13      -5.811932906105e-12       7.975126104491e-16       5.452827932253e-12       8.325195585473e-13      -5.340657960706e-15 
  132       5.094443652909e-10       1.562439693318e-13      -5.869401957991e-12       8.101589314629e-16       5.340978987899e-12       8.193559176554e-13      -5.287574967441e-15 
  133       5.141193225999e-10       1.567018740794e-13      -5.924547563108e-12       8.229275114732e-16       5.232201474504e-12       8.065161541177e-13      -5.234696417940e-15 
  134       5.187883254499e-10       1.570897722827e-13      -5.977301464357e-12       8.358192246538e-16       5.126330785758e-12       7.939766932673e-13      -5.181531474739e-15 
  135       5.234497335678e-10       1.574072422512e-13      -6.027596104983e-12       8.488349559343e-16       5.023179596355e-12       7.817110374227e-13      -5.127555337906e-15 
  136       5.281018153705e-10       1.576539358562e-13      -6.075364667090e-12       8.619756010021e-16       4.922537337123e-12       7.696896991440e-13      -5.072208570404e-15 
  137       5.327428943276e-10       1.578296042901e-13      -6.120541799345e-12       8.752420271057e-16       4.824215111630e-12       7.578864131872e-13      -5.015014529869e-15 
  138       5.373718094055e-10       1.579341747074e-13      -6.163065803578e-12       8.886349508805e-16       4.728186802788e-12       7.462976391323e-13      -4.955946806728e-15 
  139       5.419874986720e-10       1.579676848175e-13      -6.202876748522e-12       9.021550478271e-16       4.634461640635e-12       7.349249597165e-13      -4.895098706123e-15 
  140       5.465888541313e-10       1.579302614178e-13      -6.239915843398e-12       9.158029901319e-16       4.543039836752e-12       7.237689565712e-13      -4.832568627354e-15 
  141       5.511747206515e-10       1.578221222685e-13      -6.274125480803e-12       9.295794464217e-16       4.453912347808e-12       7.128291833298e-13      -4.768460138877e-15 
  142       5.557438948923e-10       1.576435779681e-13      -6.305449279588e-12       9.434850815173e-16       4.367060639118e-12       7.021041387359e-13      -4.702882053302e-15 
  143       5.602951242313e-10       1.573950338287e-13      -6.333832127751e-12       9.575205561872e-16       4.282456448192e-12       6.915912397511e-13      -4.635948502385e-15 
  144       5.648271056922e-10       1.570769917509e-13      -6.359220225313e-12       9.716865269021e-16       4.200061548289e-12       6.812867946635e-13      -4.567779012029e-15 
  145       5.693384848717e-10       1.566900520994e-13      -6.381561127205e-12       9.859836455877e-16       4.119827511968e-12       6.711859761950e-13      -4.498498577279e-15 
  146       5.738278548669e-10       1.562349155781e-13      -6.400803786155e-12       1.000412559380e-15       4.041695474645e-12       6.612827946102e-13      -4.428237737321e-15 
  147       5.782937552023e-10       1.557123851055e-13      -6.416898595565e-12       1.014973910377e-15       3.965595898139e-12       6.515700708236e-13      -4.357132650475e-15 
  148       5.827346707575e-10       1.551233676898e-13      -6.429797432404e-12       1.029668335395e-15       3.891448334228e-12       6.420394095083e-13      -4.285325169193e-15 
  149       5.871490306941e-10       1.544688763040e-13      -6.439453700086e-12       1.044496465722e-15       3.819161188203e-12       6.326811722035e-13      -4.212962915060e-15 
  150       5.915352073834e-10       1.537500317616e-13      -6.445822371353e-12       1.059458926869e-15       3.748631482417e-12       6.234844504229e-13      -4.140199353783e-15 
  151       5.958915153332e-10       1.529680645914e-13      -6.448860031166e-12       1.074556338327e-15       3.679744619838e-12       6.144370387626e-13      -4.067193870195e-15 
  152       6.002162101154e-10       1.521243169131e-13      -6.448524919582e-12       1.089789313320e-15       3.612374147605e-12       6.055254080090e-13      -3.994111843248e-15 
  153       6.045076098537e-10       1.512202186025e-13      -6.444777101822e-12       1.105158405291e-15       3.546408034499e-12       5.967380307136e-13      -3.921104954198e-15 
  154       6.087644746491e-10       1.502572093491e-13      -6.437578905995e-12       1.120663942282e-15       3.481830748967e-12       5.880757622860e-13      -3.848249894044e-15 
  155       6.129856605358e-10       1.492368128965e-13      -6.426894608010e-12       1.136306176623e-15       3.418648393886e-12       5.795423779080e-13      -3.775604076208e-15 
  156       6.171699996453e-10       1.481606638311e-13      -6.412690351214e-12       1.152085336300e-15       3.356862777656e-12       5.711412970418e-13      -3.703224865926e-15 
  157       6.213162997582e-10       1.470305093259e-13      -6.394934189931e-12       1.168001624439e-15       3.296471312780e-12       5.628755736120e-13      -3.631169554572e-15 
  158       6.254233438553e-10       1.458482108855e-13      -6.373596132989e-12       1.184055218786e-15       3.237466914454e-12       5.547478861871e-13      -3.559495333987e-15 
  159       6.294898896691e-10       1.446157460900e-13      -6.348648187253e-12       1.200246271196e-15       3.179837899155e-12       5.467605281621e-13      -3.488259270800e-15 
  160       6.335146692355e-10       1.433352103391e-13      -6.320064401156e-12       1.216574907107e-15       3.123567883223e-12       5.389153979397e-13      -3.417518280758e-15 
  161       6.374963884451e-10       1.420088185970e-13      -6.287820908234e-12       1.233041225029e-15       3.068635681452e-12       5.312139891131e-13      -3.347329103046e-15 
  162       6.414337265948e-10       1.406389071364e-13      -6.251895970655e-12       1.249645296026e-15       3.015015205670e-12       5.236573806472e-13      -3.277748274620e-15 
  163       6.453253359392e-10       1.392279352826e-13      -6.212270022749e-12       1.266387163193e-15       2.962675363335e-12       5.162462270613e-13      -3.208832104523e-15 
  164       6.491698412421e-10       1.377784871582e-13      -6.168925714545e-12       1.283266841146e-15       2.911579956113e-12       5.089807486102e-13      -3.140636648221e-15 
  165       6.529658393278e-10       1.362932734272e-13      -6.121847955299e-12       1.300284315501e-15       2.861687578468e-12       5.018607214671e-13      -3.073217681917e-15 
  166       6.567118986329e-10       1.347751330393e-13      -6.071023957027e-12       1.317439542354e-15       2.812951516249e-12       4.948854679046e-13      -3.006630676888e-15 
  167       6.604065587576e-10       1.332270349744e-13      -6.016443278037e-12       1.334732447770e-15       2.765319645275e-12       4.880538464775e-13      -2.940930773802e-15 
  168       6.640483300172e-10       1.316520799867e-13      -5.958097866460e-12       1.352162927259e-15       2.718734329921e-12       4.813642422043e-13      -2.876172757045e-15 
  169       6.676356929936e-10       1.300535023491e-13      -5.895982103782e-12       1.369730845264e-15       2.673132321706e-12       4.748145567492e-13      -2.812411029050e-15 
  170       6.711670980867e-10       1.284346715974e-13      -5.830092848376e-12       1.387436034640e-15       2.628444657881e-12       4.684021986043e-13      -2.749699584621e-15 
  171       6.746410683755e-10       1.267989793076e-13      -5.760428552955e-12       1.405278267833e-15       2.584610684625e-12       4.621245192750e-13      -2.688078836873e-15 
  172       6.780565187655e-10       1.251494851803e-13      -5.686986443214e-12       1.423257168810e-15       2.541621651079e-12       4.559801832048e-13      -2.627534916161e-15 
  173       6.814124627165e-10       1.234892446514e-13      -5.609765186260e-12       1.441372292759e-15       2.499480572824e-12       4.499678937948e-13      -2.568036912455e-15 
  174       6.847079113016e-10       1.218214224688e-13      -5.528765834974e-12       1.459623153108e-15       2.458188390998e-12       4.440859497431e-13      -2.509549639520e-15 
  175       6.879418731801e-10       1.201492939678e-13      -5.443991867760e-12       1.478009220885e-15       2.417743928515e-12       4.383322370468e-13      -2.452033555598e-15 
  176       6.911133545707e-10       1.184762463460e-13      -5.355449228305e-12       1.496529924093e-15       2.378143846275e-12       4.327042210033e-13      -2.395444684086e-15 
  177       6.942213592241e-10       1.168057799389e-13      -5.263146365327e-12       1.515184647072e-15       2.339382599381e-12       4.271989382121e-13      -2.339734534219e-15 
